review_tokens_stemmed,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
sudah proses lama banget yang kirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini,Negatif,"{'classified_text': 'sudah proses lama [-3] banget yang kirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini', 'tweet_text': ' sudah proses lama banget yang kirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini', 'sentence_score': ['sudah proses lama [-3] banget yang kirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",sudah proses lama [-3] banget yang kirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini, sudah proses lama banget yang kirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini,['sudah proses lama [-3] banget yang kirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini'],1,-3,negatif
saya kira beli dari toko official bisa dapat emas lebih baik saya terima kondisi kotak kemas prpduk buka dan saya tanya chat jual tidak direspond dengan cepat tidak ada isi yang tumpah cuma harap kotak kemas dari azarine bisa lebih baik lagi saya bisa kirim video unboxing,Negatif,"{'classified_text': 'saya kira beli dari toko official bisa dapat emas [5] lebih baik [5] saya terima kondisi kotak kemas prpduk buka dan saya tanya chat jual tidak direspond dengan cepat [4] tidak ada isi yang tumpah cuma [-2] harap kotak kemas dari azarine bisa lebih baik [5] lagi saya bisa kirim video unboxing', 'tweet_text': ' saya kira beli dari toko official bisa dapat emas lebih baik saya terima kondisi kotak kemas prpduk buka dan saya tanya chat jual tidak direspond dengan cepat tidak ada isi yang tumpah cuma harap kotak kemas dari azarine bisa lebih baik lagi saya bisa kirim video unboxing', 'sentence_score': ['saya kira beli dari toko official bisa dapat emas [5] lebih baik [5] saya terima kondisi kotak kemas prpduk buka dan saya tanya chat jual tidak direspond dengan cepat [4] tidak ada isi yang tumpah cuma [-2] harap kotak kemas dari azarine bisa lebih baik [5] lagi saya bisa kirim video unboxing'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",saya kira beli dari toko official bisa dapat emas [5] lebih baik [5] saya terima kondisi kotak kemas prpduk buka dan saya tanya chat jual tidak direspond dengan cepat [4] tidak ada isi yang tumpah cuma [-2] harap kotak kemas dari azarine bisa lebih baik [5] lagi saya bisa kirim video unboxing, saya kira beli dari toko official bisa dapat emas lebih baik saya terima kondisi kotak kemas prpduk buka dan saya tanya chat jual tidak direspond dengan cepat tidak ada isi yang tumpah cuma harap kotak kemas dari azarine bisa lebih baik lagi saya bisa kirim video unboxing,['saya kira beli dari toko official bisa dapat emas [5] lebih baik [5] saya terima kondisi kotak kemas prpduk buka dan saya tanya chat jual tidak direspond dengan cepat [4] tidak ada isi yang tumpah cuma [-2] harap kotak kemas dari azarine bisa lebih baik [5] lagi saya bisa kirim video unboxing'],5,-2,positif
tiap belanja pasti salah kalo enggak kurang barang ya salah barang ikhlasin saja moga berkah kalo produk cocok layan nya saja kurang atau butuh karyawan,Negatif,"{'classified_text': 'tiap belanja pasti salah [-5] kalo enggak kurang [2] barang ya salah [-4] barang ikhlasin saja moga berkah kalo produk cocok [3] layan nya saja kurang [-2] atau butuh karyawan', 'tweet_text': ' tiap belanja pasti salah kalo enggak kurang barang ya salah barang ikhlasin saja moga berkah kalo produk cocok layan nya saja kurang atau butuh karyawan', 'sentence_score': ['tiap belanja pasti salah [-5] kalo enggak kurang [2] barang ya salah [-4] barang ikhlasin saja moga berkah kalo produk cocok [3] layan nya saja kurang [-2] atau butuh karyawan'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}",tiap belanja pasti salah [-5] kalo enggak kurang [2] barang ya salah [-4] barang ikhlasin saja moga berkah kalo produk cocok [3] layan nya saja kurang [-2] atau butuh karyawan, tiap belanja pasti salah kalo enggak kurang barang ya salah barang ikhlasin saja moga berkah kalo produk cocok layan nya saja kurang atau butuh karyawan,['tiap belanja pasti salah [-5] kalo enggak kurang [2] barang ya salah [-4] barang ikhlasin saja moga berkah kalo produk cocok [3] layan nya saja kurang [-2] atau butuh karyawan'],3,-5,negatif
layan jelek banget,Negatif,"{'classified_text': 'layan jelek [-5] banget', 'tweet_text': ' layan jelek banget', 'sentence_score': ['layan jelek [-5] banget'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}",layan jelek [-5] banget, layan jelek banget,['layan jelek [-5] banget'],1,-5,negatif
exp panjang thanks,Negatif,"{'classified_text': 'exp panjang [1] thanks', 'tweet_text': ' exp panjang thanks', 'sentence_score': ['exp panjang [1] thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",exp panjang [1] thanks, exp panjang thanks,['exp panjang [1] thanks'],1,-1,netral
dapat tekstur sudah keras dan gumpal,Negatif,"{'classified_text': 'dapat tekstur sudah keras [-3] dan gumpal', 'tweet_text': ' dapat tekstur sudah keras dan gumpal', 'sentence_score': ['dapat tekstur sudah keras [-3] dan gumpal'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",dapat tekstur sudah keras [-3] dan gumpal, dapat tekstur sudah keras dan gumpal,['dapat tekstur sudah keras [-3] dan gumpal'],1,-3,negatif
terima dalam keaadan bocor seperti bekas lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa padahal official store malas saja mau complain entar lama lagi proses,Negatif,"{'classified_text': 'terima dalam keaadan bocor [-3] seperti [1] bekas [-4] lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa [-3] padahal official store malas [-4] saja mau complain entar lama [-2] lagi proses', 'tweet_text': ' terima dalam keaadan bocor seperti bekas lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa padahal official store malas saja mau complain entar lama lagi proses', 'sentence_score': ['terima dalam keaadan bocor [-3] seperti [1] bekas [-4] lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa [-3] padahal official store malas [-4] saja mau complain entar lama [-2] lagi proses'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",terima dalam keaadan bocor [-3] seperti [1] bekas [-4] lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa [-3] padahal official store malas [-4] saja mau complain entar lama [-2] lagi proses, terima dalam keaadan bocor seperti bekas lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa padahal official store malas saja mau complain entar lama lagi proses,['terima dalam keaadan bocor [-3] seperti [1] bekas [-4] lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa [-3] padahal official store malas [-4] saja mau complain entar lama [-2] lagi proses'],1,-4,negatif
tekstur kental banget di aku kurang ngefek sih probably enggak beli lagi,Negatif,"{'classified_text': 'tekstur kental banget di aku kurang [-2] ngefek sih probably enggak beli lagi', 'tweet_text': ' tekstur kental banget di aku kurang ngefek sih probably enggak beli lagi', 'sentence_score': ['tekstur kental banget di aku kurang [-2] ngefek sih probably enggak beli lagi'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tekstur kental banget di aku kurang [-2] ngefek sih probably enggak beli lagi, tekstur kental banget di aku kurang ngefek sih probably enggak beli lagi,['tekstur kental banget di aku kurang [-2] ngefek sih probably enggak beli lagi'],1,-2,negatif
botol semprot suka ngawur arah,Netral,"{'classified_text': 'botol semprot suka [4] ngawur arah', 'tweet_text': ' botol semprot suka ngawur arah', 'sentence_score': ['botol semprot suka [4] ngawur arah'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",botol semprot suka [4] ngawur arah, botol semprot suka ngawur arah,['botol semprot suka [4] ngawur arah'],4,-1,positif
produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya,Netral,"{'classified_text': 'produk bagus [4] sering repurchase tapi suka [4] kesel sama pumpnya isi masih banyak tapi enggak keluar [3] di pump susah [-4] kali pump nya', 'tweet_text': ' produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya', 'sentence_score': ['produk bagus [4] sering repurchase tapi suka [4] kesel sama pumpnya isi masih banyak tapi enggak keluar [3] di pump susah [-4] kali pump nya'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",produk bagus [4] sering repurchase tapi suka [4] kesel sama pumpnya isi masih banyak tapi enggak keluar [3] di pump susah [-4] kali pump nya, produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya,['produk bagus [4] sering repurchase tapi suka [4] kesel sama pumpnya isi masih banyak tapi enggak keluar [3] di pump susah [-4] kali pump nya'],4,-4,netral
sudah sering pakai ini isi banyak dan bahan enggak neko fokus melembabkan,Positif,"{'classified_text': 'sudah sering pakai ini isi banyak dan bahan enggak neko fokus melembabkan', 'tweet_text': ' sudah sering pakai ini isi banyak dan bahan enggak neko fokus melembabkan', 'sentence_score': ['sudah sering pakai ini isi banyak dan bahan enggak neko fokus melembabkan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",sudah sering pakai ini isi banyak dan bahan enggak neko fokus melembabkan, sudah sering pakai ini isi banyak dan bahan enggak neko fokus melembabkan,['sudah sering pakai ini isi banyak dan bahan enggak neko fokus melembabkan'],1,-1,netral
tekstur ringan kirim cepat,Positif,"{'classified_text': 'tekstur ringan kirim cepat [4]', 'tweet_text': ' tekstur ringan kirim cepat', 'sentence_score': ['tekstur ringan kirim cepat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",tekstur ringan kirim cepat [4], tekstur ringan kirim cepat,['tekstur ringan kirim cepat [4]'],4,-1,positif
respon toko nya cepat dan ramah belum coba mudah mudah cocok,Positif,"{'classified_text': 'respon toko nya cepat [4] dan ramah [4] belum coba mudah [3] mudah [4] cocok [4]', 'tweet_text': ' respon toko nya cepat dan ramah belum coba mudah mudah cocok', 'sentence_score': ['respon toko nya cepat [4] dan ramah [4] belum coba mudah [3] mudah [4] cocok [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",respon toko nya cepat [4] dan ramah [4] belum coba mudah [3] mudah [4] cocok [4], respon toko nya cepat dan ramah belum coba mudah mudah cocok,['respon toko nya cepat [4] dan ramah [4] belum coba mudah [3] mudah [4] cocok [4]'],4,-1,positif
sudah langgan selalu beli sini,Positif,"{'classified_text': 'sudah langgan selalu beli sini', 'tweet_text': ' sudah langgan selalu beli sini', 'sentence_score': ['sudah langgan selalu beli sini'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",sudah langgan selalu beli sini, sudah langgan selalu beli sini,['sudah langgan selalu beli sini'],1,-1,netral
tutup pumpnya enggak bisa fungsi tapi ok gentle banget washnya,Positif,"{'classified_text': 'tutup pumpnya enggak bisa fungsi tapi ok [1] gentle banget washnya', 'tweet_text': ' tutup pumpnya enggak bisa fungsi tapi ok gentle banget washnya', 'sentence_score': ['tutup pumpnya enggak bisa fungsi tapi ok [1] gentle banget washnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tutup pumpnya enggak bisa fungsi tapi ok [1] gentle banget washnya, tutup pumpnya enggak bisa fungsi tapi ok gentle banget washnya,['tutup pumpnya enggak bisa fungsi tapi ok [1] gentle banget washnya'],1,-1,netral
face wash enak sih pakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full muka sampai ke leher cocok banget buat kulit yang sensitif,Positif,"{'classified_text': 'face wash enak [4] sih pakai nya terus banyak busa nya jadi pakai sedikit saja tuh [-2] sudah bisa full muka sampai ke leher cocok [4] banget buat kulit yang sensitif [-2]', 'tweet_text': ' face wash enak sih pakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full muka sampai ke leher cocok banget buat kulit yang sensitif', 'sentence_score': ['face wash enak [4] sih pakai nya terus banyak busa nya jadi pakai sedikit saja tuh [-2] sudah bisa full muka sampai ke leher cocok [4] banget buat kulit yang sensitif [-2]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",face wash enak [4] sih pakai nya terus banyak busa nya jadi pakai sedikit saja tuh [-2] sudah bisa full muka sampai ke leher cocok [4] banget buat kulit yang sensitif [-2], face wash enak sih pakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full muka sampai ke leher cocok banget buat kulit yang sensitif,['face wash enak [4] sih pakai nya terus banyak busa nya jadi pakai sedikit saja tuh [-2] sudah bisa full muka sampai ke leher cocok [4] banget buat kulit yang sensitif [-2]'],4,-2,positif
material bagus packaging aman enggak bocor tekstur gel langsung resap aman dari fragrance packaging pump juga hygenis moga kulit sensitif saya cocok terima kasih ya,Positif,"{'classified_text': 'material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung resap aman [4] dari fragrance packaging pump juga hygenis moga kulit sensitif [-2] saya cocok [3] terima kasih [4] ya', 'tweet_text': ' material bagus packaging aman enggak bocor tekstur gel langsung resap aman dari fragrance packaging pump juga hygenis moga kulit sensitif saya cocok terima kasih ya', 'sentence_score': ['material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung resap aman [4] dari fragrance packaging pump juga hygenis moga kulit sensitif [-2] saya cocok [3] terima kasih [4] ya'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung resap aman [4] dari fragrance packaging pump juga hygenis moga kulit sensitif [-2] saya cocok [3] terima kasih [4] ya, material bagus packaging aman enggak bocor tekstur gel langsung resap aman dari fragrance packaging pump juga hygenis moga kulit sensitif saya cocok terima kasih ya,['material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung resap aman [4] dari fragrance packaging pump juga hygenis moga kulit sensitif [-2] saya cocok [3] terima kasih [4] ya'],4,-2,positif
bagus pasti ro,Positif,"{'classified_text': 'bagus [5] pasti ro', 'tweet_text': ' bagus pasti ro', 'sentence_score': ['bagus [5] pasti ro'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",bagus [5] pasti ro, bagus pasti ro,['bagus [5] pasti ro'],5,-1,positif
bagus bagus cocok,Positif,"{'classified_text': 'bagus [4] bagus [5] cocok [4]', 'tweet_text': ' bagus bagus cocok', 'sentence_score': ['bagus [4] bagus [5] cocok [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",bagus [4] bagus [5] cocok [4], bagus bagus cocok,['bagus [4] bagus [5] cocok [4]'],5,-1,positif
dapat bonus,Positif,"{'classified_text': 'dapat bonus [3]', 'tweet_text': ' dapat bonus', 'sentence_score': ['dapat bonus [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",dapat bonus [3], dapat bonus,['dapat bonus [3]'],3,-1,positif
kasih free gift juga keren,Positif,"{'classified_text': 'kasih free gift juga keren [4]', 'tweet_text': ' kasih free gift juga keren', 'sentence_score': ['kasih free gift juga keren [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",kasih free gift juga keren [4], kasih free gift juga keren,['kasih free gift juga keren [4]'],4,-1,positif
benar aku suka banget produk resap cepat banget ke kulit enggak lengket dan greasy nyaman daan betul cocok karena bekas jerawat memang jadi lebih pudar tidak hilang begitu saja dan tentu butuh proses ya bestie tapiii yang turut skin game harus perhati lagi adalah pilih packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak buang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang,Positif,"{'classified_text': 'benar [4] aku suka [5] banget produk resap cepat [5] banget ke kulit enggak lengket dan greasy nyaman [4] daan betul [4] cocok [4] karena bekas [-4] jerawat memang jadi lebih pudar tidak hilang [3] begitu saja dan tentu [1] butuh proses ya bestie tapi yang turut skin game harus perhati lagi adalah pilih packaging pump nya agak keras [-2] lalu produk yang keluar [-3] malah jadi loncat dan banyak buang [-3] entah di leher botol atau terjun bebas sedih [-3] hiks [-2] mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang', 'tweet_text': ' benar aku suka banget produk resap cepat banget ke kulit enggak lengket dan greasy nyaman daan betul cocok karena bekas jerawat memang jadi lebih pudar tidak hilang begitu saja dan tentu butuh proses ya bestie tapi yang turut skin game harus perhati lagi adalah pilih packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak buang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang', 'sentence_score': ['benar [4] aku suka [5] banget produk resap cepat [5] banget ke kulit enggak lengket dan greasy nyaman [4] daan betul [4] cocok [4] karena bekas [-4] jerawat memang jadi lebih pudar tidak hilang [3] begitu saja dan tentu [1] butuh proses ya bestie tapi yang turut skin game harus perhati lagi adalah pilih packaging pump nya agak keras [-2] lalu produk yang keluar [-3] malah jadi loncat dan banyak buang [-3] entah di leher botol atau terjun bebas sedih [-3] hiks [-2] mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}",benar [4] aku suka [5] banget produk resap cepat [5] banget ke kulit enggak lengket dan greasy nyaman [4] daan betul [4] cocok [4] karena bekas [-4] jerawat memang jadi lebih pudar tidak hilang [3] begitu saja dan tentu [1] butuh proses ya bestie tapi yang turut skin game harus perhati lagi adalah pilih packaging pump nya agak keras [-2] lalu produk yang keluar [-3] malah jadi loncat dan banyak buang [-3] entah di leher botol atau terjun bebas sedih [-3] hiks [-2] mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang, benar aku suka banget produk resap cepat banget ke kulit enggak lengket dan greasy nyaman daan betul cocok karena bekas jerawat memang jadi lebih pudar tidak hilang begitu saja dan tentu butuh proses ya bestie tapi yang turut skin game harus perhati lagi adalah pilih packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak buang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang,['benar [4] aku suka [5] banget produk resap cepat [5] banget ke kulit enggak lengket dan greasy nyaman [4] daan betul [4] cocok [4] karena bekas [-4] jerawat memang jadi lebih pudar tidak hilang [3] begitu saja dan tentu [1] butuh proses ya bestie tapi yang turut skin game harus perhati lagi adalah pilih packaging pump nya agak keras [-2] lalu produk yang keluar [-3] malah jadi loncat dan banyak buang [-3] entah di leher botol atau terjun bebas sedih [-3] hiks [-2] mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang'],5,-4,positif
maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,Negatif,"{'classified_text': 'maaf banget tapi ini susah [-4] banget diratainnya dan whitecast parah [-5] bikin kulit jadi kering banget', 'tweet_text': ' maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget', 'sentence_score': ['maaf banget tapi ini susah [-4] banget diratainnya dan whitecast parah [-5] bikin kulit jadi kering banget'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}",maaf banget tapi ini susah [-4] banget diratainnya dan whitecast parah [-5] bikin kulit jadi kering banget, maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,['maaf banget tapi ini susah [-4] banget diratainnya dan whitecast parah [-5] bikin kulit jadi kering banget'],1,-5,negatif
warna nya kuning entah karena apa,Netral,"{'classified_text': 'warna nya kuning entah karena apa', 'tweet_text': ' warna nya kuning entah karena apa', 'sentence_score': ['warna nya kuning entah karena apa'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",warna nya kuning entah karena apa, warna nya kuning entah karena apa,['warna nya kuning entah karena apa'],1,-1,netral
habis pakai ini besok langsung muncul banyak jerawat kecil,Negatif,"{'classified_text': 'habis pakai ini besok langsung muncul banyak jerawat kecil [-1]', 'tweet_text': ' habis pakai ini besok langsung muncul banyak jerawat kecil', 'sentence_score': ['habis pakai ini besok langsung muncul banyak jerawat kecil [-1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",habis pakai ini besok langsung muncul banyak jerawat kecil [-1], habis pakai ini besok langsung muncul banyak jerawat kecil,['habis pakai ini besok langsung muncul banyak jerawat kecil [-1]'],1,-1,netral
isi beranta,Negatif,"{'classified_text': 'isi beranta', 'tweet_text': ' isi beranta', 'sentence_score': ['isi beranta'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",isi beranta, isi beranta,['isi beranta'],1,-1,netral
bikin aku jerawat,Negatif,"{'classified_text': 'bikin aku jerawat', 'tweet_text': ' bikin aku jerawat', 'sentence_score': ['bikin aku jerawat'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",bikin aku jerawat, bikin aku jerawat,['bikin aku jerawat'],1,-1,netral
produk belum coba kirim tidak guna bubble wrap hanya produk dan kotak kirim saat buka botol asa panas mungkin karena tidak di lapis bubble wrap jadi langsung papar sinar matahari saat kirim moga produk masih efektif kandung,Negatif,"{'classified_text': 'produk belum coba kirim tidak guna bubble wrap hanya produk dan kotak kirim saat buka botol asa panas mungkin karena tidak di lapis bubble wrap jadi langsung papar sinar matahari saat kirim moga produk masih efektif kandung', 'tweet_text': ' produk belum coba kirim tidak guna bubble wrap hanya produk dan kotak kirim saat buka botol asa panas mungkin karena tidak di lapis bubble wrap jadi langsung papar sinar matahari saat kirim moga produk masih efektif kandung', 'sentence_score': ['produk belum coba kirim tidak guna bubble wrap hanya produk dan kotak kirim saat buka botol asa panas mungkin karena tidak di lapis bubble wrap jadi langsung papar sinar matahari saat kirim moga produk masih efektif kandung'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",produk belum coba kirim tidak guna bubble wrap hanya produk dan kotak kirim saat buka botol asa panas mungkin karena tidak di lapis bubble wrap jadi langsung papar sinar matahari saat kirim moga produk masih efektif kandung, produk belum coba kirim tidak guna bubble wrap hanya produk dan kotak kirim saat buka botol asa panas mungkin karena tidak di lapis bubble wrap jadi langsung papar sinar matahari saat kirim moga produk masih efektif kandung,['produk belum coba kirim tidak guna bubble wrap hanya produk dan kotak kirim saat buka botol asa panas mungkin karena tidak di lapis bubble wrap jadi langsung papar sinar matahari saat kirim moga produk masih efektif kandung'],1,-1,netral
selang pendek apa sih sampai dia hilang bawah wtf annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selang pakai tube aja kalo pakai packaging kayak begini masalah mulu sayang banget padahal formula bagus itu tapi kalo packagingnya begini sih big no deh,Negatif,"{'classified_text': 'selang pendek [-4] apa sih sampai dia hilang [-3] bawah [-1] wtf [-5] annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selang pakai tube aja kalo pakai packaging kayak begini masalah [-4] mulu sayang [5] banget padahal formula bagus [4] itu tapi kalo packagingnya begini sih big no deh', 'tweet_text': ' selang pendek apa sih sampai dia hilang bawah wtf annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selang pakai tube aja kalo pakai packaging kayak begini masalah mulu sayang banget padahal formula bagus itu tapi kalo packagingnya begini sih big no deh', 'sentence_score': ['selang pendek [-4] apa sih sampai dia hilang [-3] bawah [-1] wtf [-5] annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selang pakai tube aja kalo pakai packaging kayak begini masalah [-4] mulu sayang [5] banget padahal formula bagus [4] itu tapi kalo packagingnya begini sih big no deh'], 'max_positive': 5, 'max_negative': -5, 'kelas': 'netral'}",selang pendek [-4] apa sih sampai dia hilang [-3] bawah [-1] wtf [-5] annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selang pakai tube aja kalo pakai packaging kayak begini masalah [-4] mulu sayang [5] banget padahal formula bagus [4] itu tapi kalo packagingnya begini sih big no deh, selang pendek apa sih sampai dia hilang bawah wtf annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selang pakai tube aja kalo pakai packaging kayak begini masalah mulu sayang banget padahal formula bagus itu tapi kalo packagingnya begini sih big no deh,['selang pendek [-4] apa sih sampai dia hilang [-3] bawah [-1] wtf [-5] annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selang pakai tube aja kalo pakai packaging kayak begini masalah [-4] mulu sayang [5] banget padahal formula bagus [4] itu tapi kalo packagingnya begini sih big no deh'],5,-5,netral
ini parah banget seller dan kirim kurir sudah lama banget kirim plus waktu sampai buka paket rusak enggak jelas ini seller tidak professional dan tidak niat jual sama sekali meski official store tolong harga customer dengan dapat bungkus paket dengan baik dan benar,Negatif,"{'classified_text': 'ini parah [-6] banget seller dan kirim kurir sudah lama [-3] banget kirim plus waktu sampai buka paket rusak [-4] enggak jelas [-4] ini seller tidak professional dan tidak niat jual sama sekali meski official store tolong harga customer dengan dapat bungkus paket dengan baik [4] dan benar [4]', 'tweet_text': ' ini parah banget seller dan kirim kurir sudah lama banget kirim plus waktu sampai buka paket rusak enggak jelas ini seller tidak professional dan tidak niat jual sama sekali meski official store tolong harga customer dengan dapat bungkus paket dengan baik dan benar', 'sentence_score': ['ini parah [-6] banget seller dan kirim kurir sudah lama [-3] banget kirim plus waktu sampai buka paket rusak [-4] enggak jelas [-4] ini seller tidak professional dan tidak niat jual sama sekali meski official store tolong harga customer dengan dapat bungkus paket dengan baik [4] dan benar [4]'], 'max_positive': 4, 'max_negative': -6, 'kelas': 'negatif'}",ini parah [-6] banget seller dan kirim kurir sudah lama [-3] banget kirim plus waktu sampai buka paket rusak [-4] enggak jelas [-4] ini seller tidak professional dan tidak niat jual sama sekali meski official store tolong harga customer dengan dapat bungkus paket dengan baik [4] dan benar [4], ini parah banget seller dan kirim kurir sudah lama banget kirim plus waktu sampai buka paket rusak enggak jelas ini seller tidak professional dan tidak niat jual sama sekali meski official store tolong harga customer dengan dapat bungkus paket dengan baik dan benar,['ini parah [-6] banget seller dan kirim kurir sudah lama [-3] banget kirim plus waktu sampai buka paket rusak [-4] enggak jelas [-4] ini seller tidak professional dan tidak niat jual sama sekali meski official store tolong harga customer dengan dapat bungkus paket dengan baik [4] dan benar [4]'],4,-6,negatif
untuk packaging suka banget dan rim juga cepat cuman sorry banget kayak memang enggak cocok di aku kayak langsung jerawat besar begitu,Netral,"{'classified_text': 'untuk packaging suka [5] banget dan rim juga cepat [4] cuman sorry banget kayak memang enggak cocok [-3] di aku kayak langsung jerawat besar [3] begitu', 'tweet_text': ' untuk packaging suka banget dan rim juga cepat cuman sorry banget kayak memang enggak cocok di aku kayak langsung jerawat besar begitu', 'sentence_score': ['untuk packaging suka [5] banget dan rim juga cepat [4] cuman sorry banget kayak memang enggak cocok [-3] di aku kayak langsung jerawat besar [3] begitu'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}",untuk packaging suka [5] banget dan rim juga cepat [4] cuman sorry banget kayak memang enggak cocok [-3] di aku kayak langsung jerawat besar [3] begitu, untuk packaging suka banget dan rim juga cepat cuman sorry banget kayak memang enggak cocok di aku kayak langsung jerawat besar begitu,['untuk packaging suka [5] banget dan rim juga cepat [4] cuman sorry banget kayak memang enggak cocok [-3] di aku kayak langsung jerawat besar [3] begitu'],5,-3,positif
