,Review,Sentimen,Review_norm,review_tokens,review_tokens_stemmed
46,agak kesel ya aku udah nunggu barangnya dan yang dateng salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesen alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kaya gini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya ga bisa dilampirkan pula ada tulisan ada gangguan di rumah toped gatau deh serah di cek aja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,Negatif,agak kesel ya aku sudah menunggu barangnya dan yang datang salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesan alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kayak begini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya enggak bisa dilampirkan pula ada tulisan ada gangguan di rumah toped enggak tau deh serah di cek saja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,"['agak', 'kesel', 'ya', 'aku', 'sudah', 'menunggu', 'barangnya', 'dan', 'yang', 'datang', 'salah', 'dong', 'produknya', 'mana', 'di', 'bungkusnya', 'sesuai', 'sama', 'produk', 'yang', 'aku', 'pesan', 'alhasil', 'aku', 'buka', 'tanpa', 'di', 'video', 'tolong', 'banget', 'kalau', 'semisal', 'packing', 'di', 'cek', 'dulu', 'jangan', 'salah', 'kirim', 'kayak', 'begini', 'selain', 'rugi', 'di', 'harga', 'aku', 'juga', 'jadi', 'kehilangan', 'kepercayaan', 'sama', 'ini', 'toko', 'mana', 'lama', 'juga', 'mana', 'ini', 'fotonya', 'enggak', 'bisa', 'dilampirkan', 'pula', 'ada', 'tulisan', 'ada', 'gangguan', 'di', 'rumah', 'toped', 'enggak', 'tau', 'deh', 'serah', 'di', 'cek', 'saja', 'di', 'data', 'gudang', 'seharusnya', 'data', 'pembelian', 'dan', 'produk', 'yang', 'ada', 'di', 'gudang', 'jumlahnya', 'beda']","['agak', 'kesel', 'ya', 'aku', 'sudah', 'tunggu', 'barang', 'dan', 'yang', 'datang', 'salah', 'dong', 'produk', 'mana', 'di', 'bungkus', 'sesuai', 'sama', 'produk', 'yang', 'aku', 'pesan', 'alhasil', 'aku', 'buka', 'tanpa', 'di', 'video', 'tolong', 'banget', 'kalau', 'misal', 'packing', 'di', 'cek', 'dulu', 'jangan', 'salah', 'kirim', 'kayak', 'begini', 'selain', 'rugi', 'di', 'harga', 'aku', 'juga', 'jadi', 'hilang', 'percaya', 'sama', 'ini', 'toko', 'mana', 'lama', 'juga', 'mana', 'ini', 'foto', 'enggak', 'bisa', 'lampir', 'pula', 'ada', 'tulis', 'ada', 'ganggu', 'di', 'rumah', 'toped', 'enggak', 'tau', 'deh', 'serah', 'di', 'cek', 'saja', 'di', 'data', 'gudang', 'harus', 'data', 'beli', 'dan', 'produk', 'yang', 'ada', 'di', 'gudang', 'jumlah', 'beda']"
47,barang yang dikirim cuman harusnya karena saya beli twin pack,Negatif,barang yang dikirim cuman harusnya karena saya beli twin pack,"['barang', 'yang', 'dikirim', 'cuman', 'harusnya', 'karena', 'saya', 'beli', 'twin', 'pack']","['barang', 'yang', 'kirim', 'cuman', 'harus', 'karena', 'saya', 'beli', 'twin', 'pack']"
48,saya sudah pake harian di wajah saya jadi berminyak merah dan jadi beruntusan,Negatif,saya sudah pakai harian di wajah saya jadi berminyak merah dan jadi beruntusan,"['saya', 'sudah', 'pakai', 'harian', 'di', 'wajah', 'saya', 'jadi', 'berminyak', 'merah', 'dan', 'jadi', 'beruntusan']","['saya', 'sudah', 'pakai', 'hari', 'di', 'wajah', 'saya', 'jadi', 'minyak', 'merah', 'dan', 'jadi', 'beruntus']"
49,sesuai deskripsi,Positif,sesuai deskripsi,"['sesuai', 'deskripsi']","['sesuai', 'deskripsi']"
50,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,Netral,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulit', 'minyak', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'pori', 'besar']"
51,agak kecewa sm pengemasannya kardusnya peyok dalemnya gak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,Negatif,agak kecewa sama pengemasannya kardusnya peyok dalemnya enggak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,"['agak', 'kecewa', 'sama', 'pengemasannya', 'kardusnya', 'peyok', 'dalemnya', 'enggak', 'ada', 'bubble', 'wrap', 'biasanya', 'ada', 'bubble', 'wrap', 'nya', 'untung', 'paketnya', 'aman']","['agak', 'kecewa', 'sama', 'emas', 'kardus', 'peyok', 'dalem', 'enggak', 'ada', 'bubble', 'wrap', 'biasa', 'ada', 'bubble', 'wrap', 'nya', 'untung', 'paket', 'aman']"
52,tipe kulitku kering,Netral,tipe kulitku kering,"['tipe', 'kulitku', 'kering']","['tipe', 'kulit', 'kering']"
53,ini pertama kalinya saya tidak menerima barang pesanan saya secara lengkap sayangnya saya tidak melakukan video unboxing,Negatif,ini pertama kalinya saya tidak menerima barang pesanan saya secara lengkap sayangnya saya tidak melakukan video unboxing,"['ini', 'pertama', 'kalinya', 'saya', 'tidak', 'menerima', 'barang', 'pesanan', 'saya', 'secara', 'lengkap', 'sayangnya', 'saya', 'tidak', 'melakukan', 'video', 'unboxing']","['ini', 'pertama', 'kali', 'saya', 'tidak', 'terima', 'barang', 'pesan', 'saya', 'cara', 'lengkap', 'sayang', 'saya', 'tidak', 'laku', 'video', 'unboxing']"
54,beli tgl mei chat admin katanya tgl bisa dikirim tp sampai sudah mau batal otomatis baru dikirim sampe di rmh tgl malem pdhal mau dibawa ke luar kota tgl mei krn melihat status ga dikirim akhirnya beli sama reseller di jakarta kecewa baru pertama kali pesan di official store tp pelayanan buruk dan pengiriman lama barang yg dikirim sesuai hanya tdk ada box atau bubble wrap kalo yg butuh cepat tolong pertimbangkan utk beli di official store,Negatif,beli tanggal mei chat admin katanya tanggal bisa dikirim tapi sampai sudah mau batal otomatis baru dikirim sampai di rumah tanggal malam padahal mau dibawa ke luar kota tanggal mei karena melihat status enggak dikirim akhirnya beli sama reseller di jakarta kecewa baru pertama kali pesan di official store tapi pelayanan buruk dan pengiriman lama barang yang dikirim sesuai hanya tidak ada box atau bubble wrap kalo yang butuh cepat tolong pertimbangkan untuk beli di official store,"['beli', 'tanggal', 'mei', 'chat', 'admin', 'katanya', 'tanggal', 'bisa', 'dikirim', 'tapi', 'sampai', 'sudah', 'mau', 'batal', 'otomatis', 'baru', 'dikirim', 'sampai', 'di', 'rumah', 'tanggal', 'malam', 'padahal', 'mau', 'dibawa', 'ke', 'luar', 'kota', 'tanggal', 'mei', 'karena', 'melihat', 'status', 'enggak', 'dikirim', 'akhirnya', 'beli', 'sama', 'reseller', 'di', 'jakarta', 'kecewa', 'baru', 'pertama', 'kali', 'pesan', 'di', 'official', 'store', 'tapi', 'pelayanan', 'buruk', 'dan', 'pengiriman', 'lama', 'barang', 'yang', 'dikirim', 'sesuai', 'hanya', 'tidak', 'ada', 'box', 'atau', 'bubble', 'wrap', 'kalo', 'yang', 'butuh', 'cepat', 'tolong', 'pertimbangkan', 'untuk', 'beli', 'di', 'official', 'store']","['beli', 'tanggal', 'mei', 'chat', 'admin', 'kata', 'tanggal', 'bisa', 'kirim', 'tapi', 'sampai', 'sudah', 'mau', 'batal', 'otomatis', 'baru', 'kirim', 'sampai', 'di', 'rumah', 'tanggal', 'malam', 'padahal', 'mau', 'bawa', 'ke', 'luar', 'kota', 'tanggal', 'mei', 'karena', 'lihat', 'status', 'enggak', 'kirim', 'akhir', 'beli', 'sama', 'reseller', 'di', 'jakarta', 'kecewa', 'baru', 'pertama', 'kali', 'pesan', 'di', 'official', 'store', 'tapi', 'layan', 'buruk', 'dan', 'kirim', 'lama', 'barang', 'yang', 'kirim', 'sesuai', 'hanya', 'tidak', 'ada', 'box', 'atau', 'bubble', 'wrap', 'kalo', 'yang', 'butuh', 'cepat', 'tolong', 'timbang', 'untuk', 'beli', 'di', 'official', 'store']"
55,udahlah prosesnya lama bgt yg dikirim gk lengkap juga bilang dong kalo brgnya kosong gk bisa kasih review krn saya gak terima barang ini,Negatif,sudahlah prosesnya lama banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini,"['sudahlah', 'prosesnya', 'lama', 'banget', 'yang', 'dikirim', 'enggak', 'lengkap', 'juga', 'bilang', 'dong', 'kalo', 'brgnya', 'kosong', 'enggak', 'bisa', 'kasih', 'review', 'karena', 'saya', 'enggak', 'terima', 'barang', 'ini']","['sudah', 'proses', 'lama', 'banget', 'yang', 'kirim', 'enggak', 'lengkap', 'juga', 'bilang', 'dong', 'kalo', 'brgnya', 'kosong', 'enggak', 'bisa', 'kasih', 'review', 'karena', 'saya', 'enggak', 'terima', 'barang', 'ini']"
56,saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tdk direspond dg cepat tidak ada isi yg tumpah cm berharap kotak kemasan dr azarine bs lebih baik lg saya bs krm video unboxing,Negatif,saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat tidak ada isi yang tumpah cuma berharap kotak kemasan dari azarine bisa lebih baik lagi saya bisa kirim video unboxing,"['saya', 'kira', 'membeli', 'dari', 'toko', 'official', 'bisa', 'dapat', 'pengemasan', 'lebih', 'baik', 'saya', 'terima', 'kondisi', 'kotak', 'kemasan', 'prpduk', 'terbuka', 'dan', 'saya', 'tanya', 'chat', 'penjual', 'tidak', 'direspond', 'dengan', 'cepat', 'tidak', 'ada', 'isi', 'yang', 'tumpah', 'cuma', 'berharap', 'kotak', 'kemasan', 'dari', 'azarine', 'bisa', 'lebih', 'baik', 'lagi', 'saya', 'bisa', 'kirim', 'video', 'unboxing']","['saya', 'kira', 'beli', 'dari', 'toko', 'official', 'bisa', 'dapat', 'emas', 'lebih', 'baik', 'saya', 'terima', 'kondisi', 'kotak', 'kemas', 'prpduk', 'buka', 'dan', 'saya', 'tanya', 'chat', 'jual', 'tidak', 'direspond', 'dengan', 'cepat', 'tidak', 'ada', 'isi', 'yang', 'tumpah', 'cuma', 'harap', 'kotak', 'kemas', 'dari', 'azarine', 'bisa', 'lebih', 'baik', 'lagi', 'saya', 'bisa', 'kirim', 'video', 'unboxing']"
57,tiap belanja pasti salah klo ga kurang barangnya ya salah barangnya ikhlasin aja semoga berkah kalo produknya cocok pelayanan nya aja kurang atau butuh karyawan,Negatif,tiap belanja pasti salah kalo enggak kurang barangnya ya salah barangnya ikhlasin saja semoga berkah kalo produknya cocok pelayanan nya saja kurang atau butuh karyawan,"['tiap', 'belanja', 'pasti', 'salah', 'kalo', 'enggak', 'kurang', 'barangnya', 'ya', 'salah', 'barangnya', 'ikhlasin', 'saja', 'semoga', 'berkah', 'kalo', 'produknya', 'cocok', 'pelayanan', 'nya', 'saja', 'kurang', 'atau', 'butuh', 'karyawan']","['tiap', 'belanja', 'pasti', 'salah', 'kalo', 'enggak', 'kurang', 'barang', 'ya', 'salah', 'barang', 'ikhlasin', 'saja', 'moga', 'berkah', 'kalo', 'produk', 'cocok', 'layan', 'nya', 'saja', 'kurang', 'atau', 'butuh', 'karyawan']"
58,pelayanannya jelek bgt,Negatif,pelayanannya jelek banget,"['pelayanannya', 'jelek', 'banget']","['layan', 'jelek', 'banget']"
59,exp panjang thx,Negatif,exp panjang thanks,"['exp', 'panjang', 'thanks']","['exp', 'panjang', 'thanks']"
60,dapet tekstur sudah keras dan menggumpal,Negatif,dapat tekstur sudah keras dan menggumpal,"['dapat', 'tekstur', 'sudah', 'keras', 'dan', 'menggumpal']","['dapat', 'tekstur', 'sudah', 'keras', 'dan', 'gumpal']"
61,diterima dalam keaadan bocor seperti bekas lubang paku jd isinya tumpah jadi aku lem biar isinya gak tumpah baru pertama belanja disini malah kecewa padahal official store malas aja mau complain ntar lama lagi prosesnya,Negatif,diterima dalam keaadan bocor seperti bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas saja mau complain entar lama lagi prosesnya,"['diterima', 'dalam', 'keaadan', 'bocor', 'seperti', 'bekas', 'lubang', 'paku', 'jadi', 'isinya', 'tumpah', 'jadi', 'aku', 'lem', 'biar', 'isinya', 'enggak', 'tumpah', 'baru', 'pertama', 'belanja', 'disini', 'malah', 'kecewa', 'padahal', 'official', 'store', 'malas', 'saja', 'mau', 'complain', 'entar', 'lama', 'lagi', 'prosesnya']","['terima', 'dalam', 'keaadan', 'bocor', 'seperti', 'bekas', 'lubang', 'paku', 'jadi', 'isi', 'tumpah', 'jadi', 'aku', 'lem', 'biar', 'isi', 'enggak', 'tumpah', 'baru', 'pertama', 'belanja', 'sini', 'malah', 'kecewa', 'padahal', 'official', 'store', 'malas', 'saja', 'mau', 'complain', 'entar', 'lama', 'lagi', 'proses']"
62,teksturnya kental banget di aku kurang ngefek sih probably ga beli lagi,Negatif,teksturnya kental banget di aku kurang ngefek sih probably enggak beli lagi,"['teksturnya', 'kental', 'banget', 'di', 'aku', 'kurang', 'ngefek', 'sih', 'probably', 'enggak', 'beli', 'lagi']","['tekstur', 'kental', 'banget', 'di', 'aku', 'kurang', 'ngefek', 'sih', 'probably', 'enggak', 'beli', 'lagi']"
63,botol semprotnya suka ngawur arahnya,Netral,botol semprotnya suka ngawur arahnya,"['botol', 'semprotnya', 'suka', 'ngawur', 'arahnya']","['botol', 'semprot', 'suka', 'ngawur', 'arah']"
64,produk baguss sering repurchase tapi suka kesel sama pumpnya isi masi banyak tapi gk kluar di pump susah kali pump nya,Netral,produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya,"['produk', 'bagus', 'sering', 'repurchase', 'tapi', 'suka', 'kesel', 'sama', 'pumpnya', 'isi', 'masih', 'banyak', 'tapi', 'enggak', 'keluar', 'di', 'pump', 'susah', 'kali', 'pump', 'nya']","['produk', 'bagus', 'sering', 'repurchase', 'tapi', 'suka', 'kesel', 'sama', 'pumpnya', 'isi', 'masih', 'banyak', 'tapi', 'enggak', 'keluar', 'di', 'pump', 'susah', 'kali', 'pump', 'nya']"
65,udah sering pake ini isinya banyak dan bahannya ga neko fkus melembabkan,Positif,sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan,"['sudah', 'sering', 'pakai', 'ini', 'isinya', 'banyak', 'dan', 'bahannya', 'enggak', 'neko', 'fokus', 'melembabkan']","['sudah', 'sering', 'pakai', 'ini', 'isi', 'banyak', 'dan', 'bahan', 'enggak', 'neko', 'fokus', 'melembabkan']"
66,tekstur ringan pengiriman cepat,Positif,tekstur ringan pengiriman cepat,"['tekstur', 'ringan', 'pengiriman', 'cepat']","['tekstur', 'ringan', 'kirim', 'cepat']"
67,respon toko nya cepet dan ramah belum dicoba mudah mudahan cocok,Positif,respon toko nya cepat dan ramah belum dicoba mudah mudahan cocok,"['respon', 'toko', 'nya', 'cepat', 'dan', 'ramah', 'belum', 'dicoba', 'mudah', 'mudahan', 'cocok']","['respon', 'toko', 'nya', 'cepat', 'dan', 'ramah', 'belum', 'coba', 'mudah', 'mudah', 'cocok']"
68,sdh langganan sll beli disini,Positif,sudah langganan selalu beli disini,"['sudah', 'langganan', 'selalu', 'beli', 'disini']","['sudah', 'langgan', 'selalu', 'beli', 'sini']"
69,tutup pumpnya gak bisa berfungsi tp ok gentle bgt washnya,Positif,tutup pumpnya enggak bisa berfungsi tapi ok gentle banget washnya,"['tutup', 'pumpnya', 'enggak', 'bisa', 'berfungsi', 'tapi', 'ok', 'gentle', 'banget', 'washnya']","['tutup', 'pumpnya', 'enggak', 'bisa', 'fungsi', 'tapi', 'ok', 'gentle', 'banget', 'washnya']"
70,fw enak sih dipake nya terus byk busa nya jd pake sedikit aja tuh udah bisa full semuka ampe ke leher cocok bgt buat kulitku yang sensitif,Positif,face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full semuka sampai ke leher cocok banget buat kulitku yang sensitif,"['face', 'wash', 'enak', 'sih', 'dipakai', 'nya', 'terus', 'banyak', 'busa', 'nya', 'jadi', 'pakai', 'sedikit', 'saja', 'tuh', 'sudah', 'bisa', 'full', 'semuka', 'sampai', 'ke', 'leher', 'cocok', 'banget', 'buat', 'kulitku', 'yang', 'sensitif']","['face', 'wash', 'enak', 'sih', 'pakai', 'nya', 'terus', 'banyak', 'busa', 'nya', 'jadi', 'pakai', 'sedikit', 'saja', 'tuh', 'sudah', 'bisa', 'full', 'muka', 'sampai', 'ke', 'leher', 'cocok', 'banget', 'buat', 'kulit', 'yang', 'sensitif']"
71,material bagus packaging aman ga bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terimakasih ya,Positif,material bagus packaging aman enggak bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terima kasih ya,"['material', 'bagus', 'packaging', 'aman', 'enggak', 'bocor', 'tekstur', 'gel', 'langsung', 'meresap', 'aman', 'dari', 'fragrance', 'packaging', 'pump', 'juga', 'hygenis', 'semoga', 'kulit', 'sensitif', 'saya', 'cocok', 'terima', 'kasih', 'ya']","['material', 'bagus', 'packaging', 'aman', 'enggak', 'bocor', 'tekstur', 'gel', 'langsung', 'resap', 'aman', 'dari', 'fragrance', 'packaging', 'pump', 'juga', 'hygenis', 'moga', 'kulit', 'sensitif', 'saya', 'cocok', 'terima', 'kasih', 'ya']"
72,bagus pasti ro,Positif,bagus pasti ro,"['bagus', 'pasti', 'ro']","['bagus', 'pasti', 'ro']"
73,baguus bagus cocok,Positif,bagus bagus cocok,"['bagus', 'bagus', 'cocok']","['bagus', 'bagus', 'cocok']"
74,dapet bonus,Positif,dapat bonus,"['dapat', 'bonus']","['dapat', 'bonus']"
75,dikasi free gift jg keren,Positif,dikasih free gift juga keren,"['dikasih', 'free', 'gift', 'juga', 'keren']","['kasih', 'free', 'gift', 'juga', 'keren']"
76,sebenernya aku suka banget produknya meresapnya cepat banget ke kulit ga lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku emang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapiii yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang ,Positif,sebenarnya aku suka banget produknya meresapnya cepat banget ke kulit enggak lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku memang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapiii yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang ,"['sebenarnya', 'aku', 'suka', 'banget', 'produknya', 'meresapnya', 'cepat', 'banget', 'ke', 'kulit', 'enggak', 'lengket', 'dan', 'greasy', 'nyaman', 'daan', 'kebetulan', 'cocok', 'karena', 'bekas', 'jerawatku', 'memang', 'jadi', 'lebih', 'memudar', 'tidak', 'hilang', 'begitu', 'saja', 'dan', 'tentunya', 'butuh', 'prosesnya', 'ya', 'bestie', 'tapiii', 'yang', 'menurutku', 'skin', 'game', 'harus', 'perhatikan', 'lagi', 'adalah', 'pemilihan', 'packaging', 'pump', 'nya', 'agak', 'keras', 'lalu', 'produk', 'yang', 'keluar', 'malah', 'jadi', 'loncat', 'dan', 'banyak', 'terbuang', 'entah', 'di', 'leher', 'botol', 'atau', 'terjun', 'bebas', 'sedih', 'hiks', 'mungkin', 'jika', 'ada', 'konsiderasi', 'untuk', 'improve', 'pump', 'nya', 'aku', 'akan', 'kasih', 'bintang']","['benar', 'aku', 'suka', 'banget', 'produk', 'resap', 'cepat', 'banget', 'ke', 'kulit', 'enggak', 'lengket', 'dan', 'greasy', 'nyaman', 'daan', 'betul', 'cocok', 'karena', 'bekas', 'jerawat', 'memang', 'jadi', 'lebih', 'pudar', 'tidak', 'hilang', 'begitu', 'saja', 'dan', 'tentu', 'butuh', 'proses', 'ya', 'bestie', 'tapiii', 'yang', 'turut', 'skin', 'game', 'harus', 'perhati', 'lagi', 'adalah', 'pilih', 'packaging', 'pump', 'nya', 'agak', 'keras', 'lalu', 'produk', 'yang', 'keluar', 'malah', 'jadi', 'loncat', 'dan', 'banyak', 'buang', 'entah', 'di', 'leher', 'botol', 'atau', 'terjun', 'bebas', 'sedih', 'hiks', 'mungkin', 'jika', 'ada', 'konsiderasi', 'untuk', 'improve', 'pump', 'nya', 'aku', 'akan', 'kasih', 'bintang']"
77,maaf banget tp ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,Negatif,maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,"['maaf', 'banget', 'tapi', 'ini', 'susah', 'banget', 'diratainnya', 'dan', 'whitecast', 'parah', 'bikin', 'kulit', 'jadi', 'kering', 'banget']","['maaf', 'banget', 'tapi', 'ini', 'susah', 'banget', 'diratainnya', 'dan', 'whitecast', 'parah', 'bikin', 'kulit', 'jadi', 'kering', 'banget']"
78,warna nya kuning entah karena apa,Netral,warna nya kuning entah karena apa,"['warna', 'nya', 'kuning', 'entah', 'karena', 'apa']","['warna', 'nya', 'kuning', 'entah', 'karena', 'apa']"
79,abis pake ini besokannya langsung muncul banyak jerawat kecil,Negatif,habis pakai ini besokannya langsung muncul banyak jerawat kecil,"['habis', 'pakai', 'ini', 'besokannya', 'langsung', 'muncul', 'banyak', 'jerawat', 'kecil']","['habis', 'pakai', 'ini', 'besok', 'langsung', 'muncul', 'banyak', 'jerawat', 'kecil']"
80,isinya berantakan,Negatif,isinya berantakan,"['isinya', 'berantakan']","['isi', 'beranta']"
81,bikin aku jerawatan,Negatif,bikin aku jerawatan,"['bikin', 'aku', 'jerawatan']","['bikin', 'aku', 'jerawat']"
82,produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin krn tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masi efektif kandungannya,Negatif,produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya,"['produk', 'belum', 'dicoba', 'pengiriman', 'tidak', 'menggunakan', 'bubble', 'wrap', 'hanya', 'produk', 'dan', 'kotak', 'pengiriman', 'saat', 'dibuka', 'botol', 'terasa', 'panas', 'mungkin', 'karena', 'tidak', 'di', 'lapisi', 'bubble', 'wrap', 'jadi', 'langsung', 'terpapar', 'sinar', 'matahari', 'saat', 'pengiriman', 'semoga', 'produk', 'masih', 'efektif', 'kandungannya']","['produk', 'belum', 'coba', 'kirim', 'tidak', 'guna', 'bubble', 'wrap', 'hanya', 'produk', 'dan', 'kotak', 'kirim', 'saat', 'buka', 'botol', 'asa', 'panas', 'mungkin', 'karena', 'tidak', 'di', 'lapis', 'bubble', 'wrap', 'jadi', 'langsung', 'papar', 'sinar', 'matahari', 'saat', 'kirim', 'moga', 'produk', 'masih', 'efektif', 'kandung']"
83,selangnya sependek apa sih sampe dia ilang kebawah wtf annoying bgt pakenya gmn coba udah aku cari tp gak ada selangnya pake tube ajalah kalo pake packaging kaya gini bermasalah mulu sayang bgt padahal formulanya sebagus itu tapi kalo packagingnya begini sihhh big no deh,Negatif,selangnya sependek apa sih sampai dia hilang kebawah wtf annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh,"['selangnya', 'sependek', 'apa', 'sih', 'sampai', 'dia', 'hilang', 'kebawah', 'wtf', 'annoying', 'banget', 'pakenya', 'bagaimana', 'coba', 'sudah', 'aku', 'cari', 'tapi', 'enggak', 'ada', 'selangnya', 'pakai', 'tube', 'ajalah', 'kalo', 'pakai', 'packaging', 'kayak', 'begini', 'bermasalah', 'mulu', 'sayang', 'banget', 'padahal', 'formulanya', 'sebagus', 'itu', 'tapi', 'kalo', 'packagingnya', 'begini', 'sih', 'big', 'no', 'deh']","['selang', 'pendek', 'apa', 'sih', 'sampai', 'dia', 'hilang', 'bawah', 'wtf', 'annoying', 'banget', 'pakenya', 'bagaimana', 'coba', 'sudah', 'aku', 'cari', 'tapi', 'enggak', 'ada', 'selang', 'pakai', 'tube', 'aja', 'kalo', 'pakai', 'packaging', 'kayak', 'begini', 'masalah', 'mulu', 'sayang', 'banget', 'padahal', 'formula', 'bagus', 'itu', 'tapi', 'kalo', 'packagingnya', 'begini', 'sih', 'big', 'no', 'deh']"
84,ini parah banget seller dan pengiriman kurir udah lama banget kirimnya plus waktu sampai dibuka paketnya rusak gajelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,Negatif,ini parah banget seller dan pengiriman kurir sudah lama banget kirimnya plus waktu sampai dibuka paketnya rusak enggak jelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,"['ini', 'parah', 'banget', 'seller', 'dan', 'pengiriman', 'kurir', 'sudah', 'lama', 'banget', 'kirimnya', 'plus', 'waktu', 'sampai', 'dibuka', 'paketnya', 'rusak', 'enggak', 'jelas', 'ini', 'seller', 'tidak', 'professional', 'dan', 'tidak', 'niat', 'jualan', 'sama', 'sekali', 'meskipun', 'official', 'store', 'tolong', 'hargai', 'customer', 'dengan', 'dapat', 'membungkus', 'paket', 'dengan', 'baik', 'dan', 'benar']","['ini', 'parah', 'banget', 'seller', 'dan', 'kirim', 'kurir', 'sudah', 'lama', 'banget', 'kirim', 'plus', 'waktu', 'sampai', 'buka', 'paket', 'rusak', 'enggak', 'jelas', 'ini', 'seller', 'tidak', 'professional', 'dan', 'tidak', 'niat', 'jual', 'sama', 'sekali', 'meski', 'official', 'store', 'tolong', 'harga', 'customer', 'dengan', 'dapat', 'bungkus', 'paket', 'dengan', 'baik', 'dan', 'benar']"
85,untuk packaging suka bangettt dan pengeriman juga cepat cuman sorry bgt kykny memang ga cocok di aku kyk lgsg jerawatan besar gitu,Netral,untuk packaging suka banget dan pengeriman juga cepat cuman sorry banget kayaknya memang enggak cocok di aku kayak langsung jerawatan besar begitu,"['untuk', 'packaging', 'suka', 'banget', 'dan', 'pengeriman', 'juga', 'cepat', 'cuman', 'sorry', 'banget', 'kayaknya', 'memang', 'enggak', 'cocok', 'di', 'aku', 'kayak', 'langsung', 'jerawatan', 'besar', 'begitu']","['untuk', 'packaging', 'suka', 'banget', 'dan', 'rim', 'juga', 'cepat', 'cuman', 'sorry', 'banget', 'kayak', 'memang', 'enggak', 'cocok', 'di', 'aku', 'kayak', 'langsung', 'jerawat', 'besar', 'begitu']"
