,Review,Sentimen,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
39,love banget makasih azarine tadinya beli karena dapet pc tapi ternyata emang bagus banget velvety lippie cream nyaa dan walau ga cocok warm tone ini bagus banget di akuu,Positif,love banget terima kasih azarine tadinya beli karena dapat pc tapi ternyata memang bagus banget velvety lippie cream nya dan walau enggak cocok warm tone ini bagus banget di aku,"['love', 'banget', 'terima', 'kasih', 'azarine', 'tadinya', 'beli', 'karena', 'dapat', 'pc', 'tapi', 'ternyata', 'memang', 'bagus', 'banget', 'velvety', 'lippie', 'cream', 'nya', 'dan', 'walau', 'enggak', 'cocok', 'warm', 'tone', 'ini', 'bagus', 'banget', 'di', 'aku']","['love', 'banget', 'terima', 'kasih', 'azarine', 'tadinya', 'beli', 'pc', 'ternyata', 'memang', 'bagus', 'banget', 'velvety', 'lippie', 'cream', 'nya', 'enggak', 'cocok', 'warm', 'tone', 'bagus', 'banget', 'aku']","['love', 'banget', 'terima', 'kasih', 'azarine', 'tadi', 'beli', 'pc', 'nyata', 'memang', 'bagus', 'banget', 'velvety', 'lippie', 'cream', 'nya', 'enggak', 'cocok', 'warm', 'tone', 'bagus', 'banget', 'aku']"
40,pertama kali coba elum tau si,Netral,pertama kali coba elum tau sih,"['pertama', 'kali', 'coba', 'elum', 'tau', 'sih']","['pertama', 'kali', 'coba', 'elum', 'tau', 'sih']","['pertama', 'kali', 'coba', 'elum', 'tau', 'sih']"
41,realpict sukses selalu seller,Positif,realpict sukses selalu seller,"['realpict', 'sukses', 'selalu', 'seller']","['realpict', 'sukses', 'selalu', 'seller']","['realpict', 'sukses', 'selalu', 'seller']"
42,smuaa ok cuma ky nya kulitku yg ga cocok sm sunscreennya ngerasa lengket bgt makenya so sorry,Netral,semua ok cuma kaya nya kulitku yang enggak cocok sama sunscreennya merasa lengket banget makenya so sorry,"['semua', 'ok', 'cuma', 'kaya', 'nya', 'kulitku', 'yang', 'enggak', 'cocok', 'sama', 'sunscreennya', 'merasa', 'lengket', 'banget', 'makenya', 'so', 'sorry']","['semua', 'cuma', 'kaya', 'nya', 'kulitku', 'enggak', 'cocok', 'sama', 'sunscreennya', 'merasa', 'lengket', 'banget', 'makenya', 'so', 'sorry']","['semua', 'cuma', 'kaya', 'nya', 'kulit', 'enggak', 'cocok', 'sama', 'sunscreennya', 'rasa', 'lengket', 'banget', 'makenya', 'so', 'sorry']"
43,baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat,Positif,baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat,"['baru', 'pertama', 'coba', 'semoga', 'cocok', 'pengemasan', 'cepat', 'dan', 'aman', 'pengiriman', 'cepat']","['baru', 'pertama', 'coba', 'semoga', 'cocok', 'pengemasan', 'cepat', 'aman', 'pengiriman', 'cepat']","['baru', 'pertama', 'coba', 'moga', 'cocok', 'emas', 'cepat', 'aman', 'kirim', 'cepat']"
44,saya pesen dua paket twin pack dan lg yg ini harusanya saya terima produk tp saya hanya terima saya tidak sempat melakukan video unboxing jd td bisa klaim mohon untuk setelahnya lbh berhati dan memperhatikan produk yg akan dikirim apa sudah sesuai dgn pesanan atau blm,Negatif,saya pesan dua paket twin pack dan lagi yang ini harusanya saya terima produk tapi saya hanya terima saya tidak sempat melakukan video unboxing jadi tadi bisa klaim mohon untuk setelahnya lebih berhati dan memperhatikan produk yang akan dikirim apa sudah sesuai dengan pesanan atau belum,"['saya', 'pesan', 'dua', 'paket', 'twin', 'pack', 'dan', 'lagi', 'yang', 'ini', 'harusanya', 'saya', 'terima', 'produk', 'tapi', 'saya', 'hanya', 'terima', 'saya', 'tidak', 'sempat', 'melakukan', 'video', 'unboxing', 'jadi', 'tadi', 'bisa', 'klaim', 'mohon', 'untuk', 'setelahnya', 'lebih', 'berhati', 'dan', 'memperhatikan', 'produk', 'yang', 'akan', 'dikirim', 'apa', 'sudah', 'sesuai', 'dengan', 'pesanan', 'atau', 'belum']","['pesan', 'paket', 'twin', 'pack', 'harusanya', 'terima', 'produk', 'terima', 'tidak', 'sempat', 'melakukan', 'video', 'unboxing', 'jadi', 'tadi', 'klaim', 'mohon', 'setelahnya', 'lebih', 'berhati', 'memperhatikan', 'produk', 'dikirim', 'apa', 'sesuai', 'pesanan', 'belum']","['pesan', 'paket', 'twin', 'pack', 'harusanya', 'terima', 'produk', 'terima', 'tidak', 'sempat', 'laku', 'video', 'unboxing', 'jadi', 'tadi', 'klaim', 'mohon', 'telah', 'lebih', 'hati', 'perhati', 'produk', 'kirim', 'apa', 'sesuai', 'pesan', 'belum']"
45,pelayanan admin nya jelek,Negatif,pelayanan admin nya jelek,"['pelayanan', 'admin', 'nya', 'jelek']","['pelayanan', 'admin', 'nya', 'jelek']","['layan', 'admin', 'nya', 'jelek']"
46,agak kesel ya aku udah nunggu barangnya dan yang dateng salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesen alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kaya gini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya ga bisa dilampirkan pula ada tulisan ada gangguan di rumah toped gatau deh serah di cek aja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,Negatif,agak kesel ya aku sudah menunggu barangnya dan yang datang salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesan alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kayak begini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya enggak bisa dilampirkan pula ada tulisan ada gangguan di rumah toped enggak tau deh serah di cek saja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,"['agak', 'kesel', 'ya', 'aku', 'sudah', 'menunggu', 'barangnya', 'dan', 'yang', 'datang', 'salah', 'dong', 'produknya', 'mana', 'di', 'bungkusnya', 'sesuai', 'sama', 'produk', 'yang', 'aku', 'pesan', 'alhasil', 'aku', 'buka', 'tanpa', 'di', 'video', 'tolong', 'banget', 'kalau', 'semisal', 'packing', 'di', 'cek', 'dulu', 'jangan', 'salah', 'kirim', 'kayak', 'begini', 'selain', 'rugi', 'di', 'harga', 'aku', 'juga', 'jadi', 'kehilangan', 'kepercayaan', 'sama', 'ini', 'toko', 'mana', 'lama', 'juga', 'mana', 'ini', 'fotonya', 'enggak', 'bisa', 'dilampirkan', 'pula', 'ada', 'tulisan', 'ada', 'gangguan', 'di', 'rumah', 'toped', 'enggak', 'tau', 'deh', 'serah', 'di', 'cek', 'saja', 'di', 'data', 'gudang', 'seharusnya', 'data', 'pembelian', 'dan', 'produk', 'yang', 'ada', 'di', 'gudang', 'jumlahnya', 'beda']","['kesel', 'aku', 'menunggu', 'barangnya', 'datang', 'salah', 'dong', 'produknya', 'mana', 'bungkusnya', 'sesuai', 'sama', 'produk', 'aku', 'pesan', 'alhasil', 'aku', 'buka', 'tanpa', 'video', 'banget', 'kalau', 'semisal', 'packing', 'cek', 'dulu', 'jangan', 'salah', 'kirim', 'kayak', 'begini', 'rugi', 'harga', 'aku', 'jadi', 'kehilangan', 'kepercayaan', 'sama', 'toko', 'mana', 'lama', 'mana', 'fotonya', 'enggak', 'dilampirkan', 'tulisan', 'gangguan', 'rumah', 'toped', 'enggak', 'tau', 'deh', 'serah', 'cek', 'data', 'gudang', 'data', 'pembelian', 'produk', 'gudang', 'jumlahnya', 'beda']","['kesel', 'aku', 'tunggu', 'barang', 'datang', 'salah', 'dong', 'produk', 'mana', 'bungkus', 'sesuai', 'sama', 'produk', 'aku', 'pesan', 'alhasil', 'aku', 'buka', 'tanpa', 'video', 'banget', 'kalau', 'misal', 'packing', 'cek', 'dulu', 'jangan', 'salah', 'kirim', 'kayak', 'begini', 'rugi', 'harga', 'aku', 'jadi', 'hilang', 'percaya', 'sama', 'toko', 'mana', 'lama', 'mana', 'foto', 'enggak', 'lampir', 'tulis', 'ganggu', 'rumah', 'toped', 'enggak', 'tau', 'deh', 'serah', 'cek', 'data', 'gudang', 'data', 'beli', 'produk', 'gudang', 'jumlah', 'beda']"
47,barang yang dikirim cuman harusnya karena saya beli twin pack,Negatif,barang yang dikirim cuman harusnya karena saya beli twin pack,"['barang', 'yang', 'dikirim', 'cuman', 'harusnya', 'karena', 'saya', 'beli', 'twin', 'pack']","['barang', 'dikirim', 'cuman', 'harusnya', 'beli', 'twin', 'pack']","['barang', 'kirim', 'cuman', 'harus', 'beli', 'twin', 'pack']"
48,saya sudah pake harian di wajah saya jadi berminyak merah dan jadi beruntusan,Negatif,saya sudah pakai harian di wajah saya jadi berminyak merah dan jadi beruntusan,"['saya', 'sudah', 'pakai', 'harian', 'di', 'wajah', 'saya', 'jadi', 'berminyak', 'merah', 'dan', 'jadi', 'beruntusan']","['pakai', 'harian', 'wajah', 'jadi', 'berminyak', 'merah', 'jadi', 'beruntusan']","['pakai', 'hari', 'wajah', 'jadi', 'minyak', 'merah', 'jadi', 'beruntus']"
49,sesuai deskripsi,Positif,sesuai deskripsi,"['sesuai', 'deskripsi']","['sesuai', 'deskripsi']","['sesuai', 'deskripsi']"
50,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,Netral,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulit', 'minyak', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'pori', 'besar']"
51,agak kecewa sm pengemasannya kardusnya peyok dalemnya gak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,Negatif,agak kecewa sama pengemasannya kardusnya peyok dalemnya enggak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,"['agak', 'kecewa', 'sama', 'pengemasannya', 'kardusnya', 'peyok', 'dalemnya', 'enggak', 'ada', 'bubble', 'wrap', 'biasanya', 'ada', 'bubble', 'wrap', 'nya', 'untung', 'paketnya', 'aman']","['kecewa', 'sama', 'pengemasannya', 'kardusnya', 'peyok', 'dalemnya', 'enggak', 'bubble', 'wrap', 'biasanya', 'bubble', 'wrap', 'nya', 'untung', 'paketnya', 'aman']","['kecewa', 'sama', 'emas', 'kardus', 'peyok', 'dalem', 'enggak', 'bubble', 'wrap', 'biasa', 'bubble', 'wrap', 'nya', 'untung', 'paket', 'aman']"
52,tipe kulitku kering,Netral,tipe kulitku kering,"['tipe', 'kulitku', 'kering']","['tipe', 'kulitku', 'kering']","['tipe', 'kulit', 'kering']"
53,cocok sama produknya,Positif,cocok sama produknya,"['cocok', 'sama', 'produknya']","['cocok', 'sama', 'produknya']","['cocok', 'sama', 'produk']"
54,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thx,Positif,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thanks,"['sudah', 'berkali', 'kali', 'beli', 'di', 'toko', 'official', 'ini', 'dan', 'setiap', 'kali', 'pembelian', 'selalu', 'amanah', 'thanks']","['berkali', 'kali', 'beli', 'toko', 'official', 'kali', 'pembelian', 'selalu', 'amanah', 'thanks']","['kali', 'kali', 'beli', 'toko', 'official', 'kali', 'beli', 'selalu', 'amanah', 'thanks']"
55,barang nya oke,Positif,barang nya oke,"['barang', 'nya', 'oke']","['barang', 'nya', 'oke']","['barang', 'nya', 'oke']"
56,repeat order,Netral,repeat order,"['repeat', 'order']","['repeat', 'order']","['repeat', 'order']"
57,tiap belanja pasti salah klo ga kurang barangnya ya salah barangnya ikhlasin aja semoga berkah kalo produknya cocok pelayanan nya aja kurang atau butuh karyawan,Negatif,tiap belanja pasti salah kalo enggak kurang barangnya ya salah barangnya ikhlasin saja semoga berkah kalo produknya cocok pelayanan nya saja kurang atau butuh karyawan,"['tiap', 'belanja', 'pasti', 'salah', 'kalo', 'enggak', 'kurang', 'barangnya', 'ya', 'salah', 'barangnya', 'ikhlasin', 'saja', 'semoga', 'berkah', 'kalo', 'produknya', 'cocok', 'pelayanan', 'nya', 'saja', 'kurang', 'atau', 'butuh', 'karyawan']","['tiap', 'belanja', 'salah', 'kalo', 'enggak', 'kurang', 'barangnya', 'salah', 'barangnya', 'ikhlasin', 'semoga', 'berkah', 'kalo', 'produknya', 'cocok', 'pelayanan', 'nya', 'kurang', 'butuh', 'karyawan']","['tiap', 'belanja', 'salah', 'kalo', 'enggak', 'kurang', 'barang', 'salah', 'barang', 'ikhlasin', 'moga', 'berkah', 'kalo', 'produk', 'cocok', 'layan', 'nya', 'kurang', 'butuh', 'karyawan']"
58,pelayanannya jelek bgt,Negatif,pelayanannya jelek banget,"['pelayanannya', 'jelek', 'banget']","['pelayanannya', 'jelek', 'banget']","['layan', 'jelek', 'banget']"
59,exp panjang thx,Negatif,exp panjang thanks,"['exp', 'panjang', 'thanks']","['exp', 'panjang', 'thanks']","['exp', 'panjang', 'thanks']"
60,dapet tekstur sudah keras dan menggumpal,Negatif,dapat tekstur sudah keras dan menggumpal,"['dapat', 'tekstur', 'sudah', 'keras', 'dan', 'menggumpal']","['tekstur', 'keras', 'menggumpal']","['tekstur', 'keras', 'gumpal']"
61,diterima dalam keaadan bocor seperti bekas lubang paku jd isinya tumpah jadi aku lem biar isinya gak tumpah baru pertama belanja disini malah kecewa padahal official store malas aja mau complain ntar lama lagi prosesnya,Negatif,diterima dalam keaadan bocor seperti bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas saja mau complain entar lama lagi prosesnya,"['diterima', 'dalam', 'keaadan', 'bocor', 'seperti', 'bekas', 'lubang', 'paku', 'jadi', 'isinya', 'tumpah', 'jadi', 'aku', 'lem', 'biar', 'isinya', 'enggak', 'tumpah', 'baru', 'pertama', 'belanja', 'disini', 'malah', 'kecewa', 'padahal', 'official', 'store', 'malas', 'saja', 'mau', 'complain', 'entar', 'lama', 'lagi', 'prosesnya']","['diterima', 'keaadan', 'bocor', 'bekas', 'lubang', 'paku', 'jadi', 'isinya', 'tumpah', 'jadi', 'aku', 'lem', 'biar', 'isinya', 'enggak', 'tumpah', 'baru', 'pertama', 'belanja', 'disini', 'malah', 'kecewa', 'padahal', 'official', 'store', 'malas', 'mau', 'complain', 'entar', 'lama', 'prosesnya']","['terima', 'keaadan', 'bocor', 'bekas', 'lubang', 'paku', 'jadi', 'isi', 'tumpah', 'jadi', 'aku', 'lem', 'biar', 'isi', 'enggak', 'tumpah', 'baru', 'pertama', 'belanja', 'sini', 'malah', 'kecewa', 'padahal', 'official', 'store', 'malas', 'mau', 'complain', 'entar', 'lama', 'proses']"
62,teksturnya kental banget di aku kurang ngefek sih probably ga beli lagi,Negatif,teksturnya kental banget di aku kurang ngefek sih probably enggak beli lagi,"['teksturnya', 'kental', 'banget', 'di', 'aku', 'kurang', 'ngefek', 'sih', 'probably', 'enggak', 'beli', 'lagi']","['teksturnya', 'kental', 'banget', 'aku', 'kurang', 'ngefek', 'sih', 'probably', 'enggak', 'beli']","['tekstur', 'kental', 'banget', 'aku', 'kurang', 'ngefek', 'sih', 'probably', 'enggak', 'beli']"
63,botol semprotnya suka ngawur arahnya,Netral,botol semprotnya suka ngawur arahnya,"['botol', 'semprotnya', 'suka', 'ngawur', 'arahnya']","['botol', 'semprotnya', 'suka', 'ngawur', 'arahnya']","['botol', 'semprot', 'suka', 'ngawur', 'arah']"
64,produk baguss sering repurchase tapi suka kesel sama pumpnya isi masi banyak tapi gk kluar di pump susah kali pump nya,Netral,produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya,"['produk', 'bagus', 'sering', 'repurchase', 'tapi', 'suka', 'kesel', 'sama', 'pumpnya', 'isi', 'masih', 'banyak', 'tapi', 'enggak', 'keluar', 'di', 'pump', 'susah', 'kali', 'pump', 'nya']","['produk', 'bagus', 'sering', 'repurchase', 'suka', 'kesel', 'sama', 'pumpnya', 'isi', 'banyak', 'enggak', 'keluar', 'pump', 'susah', 'kali', 'pump', 'nya']","['produk', 'bagus', 'sering', 'repurchase', 'suka', 'kesel', 'sama', 'pumpnya', 'isi', 'banyak', 'enggak', 'keluar', 'pump', 'susah', 'kali', 'pump', 'nya']"
65,udah sering pake ini isinya banyak dan bahannya ga neko fkus melembabkan,Positif,sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan,"['sudah', 'sering', 'pakai', 'ini', 'isinya', 'banyak', 'dan', 'bahannya', 'enggak', 'neko', 'fokus', 'melembabkan']","['sering', 'pakai', 'isinya', 'banyak', 'bahannya', 'enggak', 'neko', 'fokus', 'melembabkan']","['sering', 'pakai', 'isi', 'banyak', 'bahan', 'enggak', 'neko', 'fokus', 'melembabkan']"
66,tekstur ringan pengiriman cepat,Positif,tekstur ringan pengiriman cepat,"['tekstur', 'ringan', 'pengiriman', 'cepat']","['tekstur', 'ringan', 'pengiriman', 'cepat']","['tekstur', 'ringan', 'kirim', 'cepat']"
67,respon toko nya cepet dan ramah belum dicoba mudah mudahan cocok,Positif,respon toko nya cepat dan ramah belum dicoba mudah mudahan cocok,"['respon', 'toko', 'nya', 'cepat', 'dan', 'ramah', 'belum', 'dicoba', 'mudah', 'mudahan', 'cocok']","['respon', 'toko', 'nya', 'cepat', 'ramah', 'belum', 'dicoba', 'mudah', 'mudahan', 'cocok']","['respon', 'toko', 'nya', 'cepat', 'ramah', 'belum', 'coba', 'mudah', 'mudah', 'cocok']"
68,sdh langganan sll beli disini,Positif,sudah langganan selalu beli disini,"['sudah', 'langganan', 'selalu', 'beli', 'disini']","['langganan', 'selalu', 'beli', 'disini']","['langgan', 'selalu', 'beli', 'sini']"
69,tutup pumpnya gak bisa berfungsi tp ok gentle bgt washnya,Positif,tutup pumpnya enggak bisa berfungsi tapi ok gentle banget washnya,"['tutup', 'pumpnya', 'enggak', 'bisa', 'berfungsi', 'tapi', 'ok', 'gentle', 'banget', 'washnya']","['tutup', 'pumpnya', 'enggak', 'berfungsi', 'gentle', 'banget', 'washnya']","['tutup', 'pumpnya', 'enggak', 'fungsi', 'gentle', 'banget', 'washnya']"
70,fw enak sih dipake nya terus byk busa nya jd pake sedikit aja tuh udah bisa full semuka ampe ke leher cocok bgt buat kulitku yang sensitif,Positif,face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full semuka sampai ke leher cocok banget buat kulitku yang sensitif,"['face', 'wash', 'enak', 'sih', 'dipakai', 'nya', 'terus', 'banyak', 'busa', 'nya', 'jadi', 'pakai', 'sedikit', 'saja', 'tuh', 'sudah', 'bisa', 'full', 'semuka', 'sampai', 'ke', 'leher', 'cocok', 'banget', 'buat', 'kulitku', 'yang', 'sensitif']","['face', 'wash', 'enak', 'sih', 'dipakai', 'nya', 'terus', 'banyak', 'busa', 'nya', 'jadi', 'pakai', 'sedikit', 'tuh', 'full', 'semuka', 'leher', 'cocok', 'banget', 'buat', 'kulitku', 'sensitif']","['face', 'wash', 'enak', 'sih', 'pakai', 'nya', 'terus', 'banyak', 'busa', 'nya', 'jadi', 'pakai', 'sedikit', 'tuh', 'full', 'muka', 'leher', 'cocok', 'banget', 'buat', 'kulit', 'sensitif']"
71,material bagus packaging aman ga bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terimakasih ya,Positif,material bagus packaging aman enggak bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terima kasih ya,"['material', 'bagus', 'packaging', 'aman', 'enggak', 'bocor', 'tekstur', 'gel', 'langsung', 'meresap', 'aman', 'dari', 'fragrance', 'packaging', 'pump', 'juga', 'hygenis', 'semoga', 'kulit', 'sensitif', 'saya', 'cocok', 'terima', 'kasih', 'ya']","['material', 'bagus', 'packaging', 'aman', 'enggak', 'bocor', 'tekstur', 'gel', 'langsung', 'meresap', 'aman', 'fragrance', 'packaging', 'pump', 'hygenis', 'semoga', 'kulit', 'sensitif', 'cocok', 'terima', 'kasih']","['material', 'bagus', 'packaging', 'aman', 'enggak', 'bocor', 'tekstur', 'gel', 'langsung', 'resap', 'aman', 'fragrance', 'packaging', 'pump', 'hygenis', 'moga', 'kulit', 'sensitif', 'cocok', 'terima', 'kasih']"
72,bagus pasti ro,Positif,bagus pasti ro,"['bagus', 'pasti', 'ro']","['bagus', 'ro']","['bagus', 'ro']"
73,baguus bagus cocok,Positif,bagus bagus cocok,"['bagus', 'bagus', 'cocok']","['bagus', 'bagus', 'cocok']","['bagus', 'bagus', 'cocok']"
74,dapet bonus,Positif,dapat bonus,"['dapat', 'bonus']",['bonus'],['bonus']
75,dikasi free gift jg keren,Positif,dikasih free gift juga keren,"['dikasih', 'free', 'gift', 'juga', 'keren']","['dikasih', 'free', 'gift', 'keren']","['kasih', 'free', 'gift', 'keren']"
76,sebenernya aku suka banget produknya meresapnya cepat banget ke kulit ga lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku emang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapiii yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang ,Positif,sebenarnya aku suka banget produknya meresapnya cepat banget ke kulit enggak lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku memang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapiii yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang ,"['sebenarnya', 'aku', 'suka', 'banget', 'produknya', 'meresapnya', 'cepat', 'banget', 'ke', 'kulit', 'enggak', 'lengket', 'dan', 'greasy', 'nyaman', 'daan', 'kebetulan', 'cocok', 'karena', 'bekas', 'jerawatku', 'memang', 'jadi', 'lebih', 'memudar', 'tidak', 'hilang', 'begitu', 'saja', 'dan', 'tentunya', 'butuh', 'prosesnya', 'ya', 'bestie', 'tapiii', 'yang', 'menurutku', 'skin', 'game', 'harus', 'perhatikan', 'lagi', 'adalah', 'pemilihan', 'packaging', 'pump', 'nya', 'agak', 'keras', 'lalu', 'produk', 'yang', 'keluar', 'malah', 'jadi', 'loncat', 'dan', 'banyak', 'terbuang', 'entah', 'di', 'leher', 'botol', 'atau', 'terjun', 'bebas', 'sedih', 'hiks', 'mungkin', 'jika', 'ada', 'konsiderasi', 'untuk', 'improve', 'pump', 'nya', 'aku', 'akan', 'kasih', 'bintang']","['sebenarnya', 'aku', 'suka', 'banget', 'produknya', 'meresapnya', 'cepat', 'banget', 'kulit', 'enggak', 'lengket', 'greasy', 'nyaman', 'daan', 'kebetulan', 'cocok', 'bekas', 'jerawatku', 'memang', 'jadi', 'lebih', 'memudar', 'tidak', 'hilang', 'tentunya', 'butuh', 'prosesnya', 'bestie', 'tapiii', 'menurutku', 'skin', 'game', 'perhatikan', 'pemilihan', 'packaging', 'pump', 'nya', 'keras', 'lalu', 'produk', 'keluar', 'malah', 'jadi', 'loncat', 'banyak', 'terbuang', 'entah', 'leher', 'botol', 'terjun', 'bebas', 'sedih', 'hiks', 'mungkin', 'konsiderasi', 'improve', 'pump', 'nya', 'aku', 'kasih', 'bintang']","['benar', 'aku', 'suka', 'banget', 'produk', 'resap', 'cepat', 'banget', 'kulit', 'enggak', 'lengket', 'greasy', 'nyaman', 'daan', 'betul', 'cocok', 'bekas', 'jerawat', 'memang', 'jadi', 'lebih', 'pudar', 'tidak', 'hilang', 'tentu', 'butuh', 'proses', 'bestie', 'tapiii', 'turut', 'skin', 'game', 'perhati', 'pilih', 'packaging', 'pump', 'nya', 'keras', 'lalu', 'produk', 'keluar', 'malah', 'jadi', 'loncat', 'banyak', 'buang', 'entah', 'leher', 'botol', 'terjun', 'bebas', 'sedih', 'hiks', 'mungkin', 'konsiderasi', 'improve', 'pump', 'nya', 'aku', 'kasih', 'bintang']"
77,maaf banget tp ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,Negatif,maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,"['maaf', 'banget', 'tapi', 'ini', 'susah', 'banget', 'diratainnya', 'dan', 'whitecast', 'parah', 'bikin', 'kulit', 'jadi', 'kering', 'banget']","['maaf', 'banget', 'susah', 'banget', 'diratainnya', 'whitecast', 'parah', 'bikin', 'kulit', 'jadi', 'kering', 'banget']","['maaf', 'banget', 'susah', 'banget', 'diratainnya', 'whitecast', 'parah', 'bikin', 'kulit', 'jadi', 'kering', 'banget']"
78,warna nya kuning entah karena apa,Netral,warna nya kuning entah karena apa,"['warna', 'nya', 'kuning', 'entah', 'karena', 'apa']","['warna', 'nya', 'kuning', 'entah', 'apa']","['warna', 'nya', 'kuning', 'entah', 'apa']"
79,abis pake ini besokannya langsung muncul banyak jerawat kecil,Negatif,habis pakai ini besokannya langsung muncul banyak jerawat kecil,"['habis', 'pakai', 'ini', 'besokannya', 'langsung', 'muncul', 'banyak', 'jerawat', 'kecil']","['habis', 'pakai', 'besokannya', 'langsung', 'muncul', 'banyak', 'jerawat', 'kecil']","['habis', 'pakai', 'besok', 'langsung', 'muncul', 'banyak', 'jerawat', 'kecil']"
80,isinya berantakan,Negatif,isinya berantakan,"['isinya', 'berantakan']","['isinya', 'berantakan']","['isi', 'beranta']"
81,bikin aku jerawatan,Negatif,bikin aku jerawatan,"['bikin', 'aku', 'jerawatan']","['bikin', 'aku', 'jerawatan']","['bikin', 'aku', 'jerawat']"
82,produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin krn tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masi efektif kandungannya,Negatif,produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya,"['produk', 'belum', 'dicoba', 'pengiriman', 'tidak', 'menggunakan', 'bubble', 'wrap', 'hanya', 'produk', 'dan', 'kotak', 'pengiriman', 'saat', 'dibuka', 'botol', 'terasa', 'panas', 'mungkin', 'karena', 'tidak', 'di', 'lapisi', 'bubble', 'wrap', 'jadi', 'langsung', 'terpapar', 'sinar', 'matahari', 'saat', 'pengiriman', 'semoga', 'produk', 'masih', 'efektif', 'kandungannya']","['produk', 'belum', 'dicoba', 'pengiriman', 'tidak', 'menggunakan', 'bubble', 'wrap', 'produk', 'kotak', 'pengiriman', 'dibuka', 'botol', 'terasa', 'panas', 'mungkin', 'tidak', 'lapisi', 'bubble', 'wrap', 'jadi', 'langsung', 'terpapar', 'sinar', 'matahari', 'pengiriman', 'semoga', 'produk', 'efektif', 'kandungannya']","['produk', 'belum', 'coba', 'kirim', 'tidak', 'guna', 'bubble', 'wrap', 'produk', 'kotak', 'kirim', 'buka', 'botol', 'asa', 'panas', 'mungkin', 'tidak', 'lapis', 'bubble', 'wrap', 'jadi', 'langsung', 'papar', 'sinar', 'matahari', 'kirim', 'moga', 'produk', 'efektif', 'kandung']"
