review_tokens_stemmed,Sentimen,sentimen
exp panjang thanks,Negatif,"{'classified_text': 'exp panjang [1] thanks', 'tweet_text': ' exp panjang thanks', 'sentence_score': ['exp panjang [1] thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tekstur keras gumpal,Negatif,"{'classified_text': 'tekstur keras [-3] gumpal', 'tweet_text': ' tekstur keras gumpal', 'sentence_score': ['tekstur keras [-3] gumpal'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
terima keaadan bocor bekas lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa padahal official store malas mau complain entar lama proses,Negatif,"{'classified_text': 'terima keaadan bocor [-3] bekas [-5] lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa [-3] padahal official store malas [-4] mau complain entar lama [-2] proses', 'tweet_text': ' terima keaadan bocor bekas lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa padahal official store malas mau complain entar lama proses', 'sentence_score': ['terima keaadan bocor [-3] bekas [-5] lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa [-3] padahal official store malas [-4] mau complain entar lama [-2] proses'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
tekstur kental banget aku kurang ngefek sih probably enggak beli,Negatif,"{'classified_text': 'tekstur kental banget aku kurang [-2] ngefek sih probably enggak beli', 'tweet_text': ' tekstur kental banget aku kurang ngefek sih probably enggak beli', 'sentence_score': ['tekstur kental banget aku kurang [-2] ngefek sih probably enggak beli'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}"
botol semprot suka ngawur arah,Netral,"{'classified_text': 'botol semprot suka [4] ngawur arah', 'tweet_text': ' botol semprot suka ngawur arah', 'sentence_score': ['botol semprot suka [4] ngawur arah'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
produk bagus sering repurchase suka kesel sama pumpnya isi banyak enggak keluar pump susah kali pump nya,Netral,"{'classified_text': 'produk bagus [4] sering repurchase suka [4] kesel sama pumpnya isi banyak enggak keluar [3] pump susah [-4] kali pump nya', 'tweet_text': ' produk bagus sering repurchase suka kesel sama pumpnya isi banyak enggak keluar pump susah kali pump nya', 'sentence_score': ['produk bagus [4] sering repurchase suka [4] kesel sama pumpnya isi banyak enggak keluar [3] pump susah [-4] kali pump nya'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
sering pakai isi banyak bahan enggak neko fokus melembabkan,Positif,"{'classified_text': 'sering pakai isi banyak bahan enggak neko fokus melembabkan', 'tweet_text': ' sering pakai isi banyak bahan enggak neko fokus melembabkan', 'sentence_score': ['sering pakai isi banyak bahan enggak neko fokus melembabkan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tekstur ringan kirim cepat,Positif,"{'classified_text': 'tekstur ringan kirim cepat [4]', 'tweet_text': ' tekstur ringan kirim cepat', 'sentence_score': ['tekstur ringan kirim cepat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
respon toko nya cepat ramah belum coba mudah mudah cocok,Positif,"{'classified_text': 'respon toko nya cepat [4] ramah [5] belum coba mudah [3] mudah [4] cocok [4]', 'tweet_text': ' respon toko nya cepat ramah belum coba mudah mudah cocok', 'sentence_score': ['respon toko nya cepat [4] ramah [5] belum coba mudah [3] mudah [4] cocok [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
langgan selalu beli sini,Positif,"{'classified_text': 'langgan selalu beli sini', 'tweet_text': ' langgan selalu beli sini', 'sentence_score': ['langgan selalu beli sini'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tutup pumpnya enggak fungsi gentle banget washnya,Positif,"{'classified_text': 'tutup pumpnya enggak fungsi gentle banget washnya', 'tweet_text': ' tutup pumpnya enggak fungsi gentle banget washnya', 'sentence_score': ['tutup pumpnya enggak fungsi gentle banget washnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
face wash enak sih pakai nya terus banyak busa nya jadi pakai sedikit tuh full muka leher cocok banget buat kulit sensitif,Positif,"{'classified_text': 'face wash enak [4] sih pakai nya terus banyak busa nya jadi pakai sedikit tuh full muka leher cocok [4] banget buat kulit sensitif [-2]', 'tweet_text': ' face wash enak sih pakai nya terus banyak busa nya jadi pakai sedikit tuh full muka leher cocok banget buat kulit sensitif', 'sentence_score': ['face wash enak [4] sih pakai nya terus banyak busa nya jadi pakai sedikit tuh full muka leher cocok [4] banget buat kulit sensitif [-2]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
material bagus packaging aman enggak bocor tekstur gel langsung resap aman fragrance packaging pump hygenis moga kulit sensitif cocok terima kasih,Positif,"{'classified_text': 'material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung resap aman [4] fragrance packaging pump hygenis moga kulit sensitif [-2] cocok [3] terima kasih [4]', 'tweet_text': ' material bagus packaging aman enggak bocor tekstur gel langsung resap aman fragrance packaging pump hygenis moga kulit sensitif cocok terima kasih', 'sentence_score': ['material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung resap aman [4] fragrance packaging pump hygenis moga kulit sensitif [-2] cocok [3] terima kasih [4]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
bagus ro,Positif,"{'classified_text': 'bagus [4] ro', 'tweet_text': ' bagus ro', 'sentence_score': ['bagus [4] ro'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bagus bagus cocok,Positif,"{'classified_text': 'bagus [4] bagus [5] cocok [4]', 'tweet_text': ' bagus bagus cocok', 'sentence_score': ['bagus [4] bagus [5] cocok [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
bonus,Positif,"{'classified_text': 'bonus [3]', 'tweet_text': ' bonus', 'sentence_score': ['bonus [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
kasih free gift keren,Positif,"{'classified_text': 'kasih free gift keren [4]', 'tweet_text': ' kasih free gift keren', 'sentence_score': ['kasih free gift keren [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
benar aku suka banget produk resap cepat banget kulit enggak lengket greasy nyaman daan betul cocok bekas jerawat memang jadi lebih pudar tidak hilang tentu butuh proses bestie tapiii turut skin game perhati pilih packaging pump nya keras lalu produk keluar malah jadi loncat banyak buang entah leher botol terjun bebas sedih hiks mungkin konsiderasi improve pump nya aku kasih bintang,Positif,"{'classified_text': 'benar [4] aku suka [5] banget produk resap cepat [5] banget kulit enggak lengket greasy nyaman [4] daan betul [4] cocok [4] bekas [-4] jerawat memang jadi lebih pudar tidak hilang [3] tentu [1] butuh proses bestie tapi turut skin game perhati pilih packaging pump nya keras [-3] lalu produk keluar [-3] malah jadi loncat banyak buang [-3] entah leher botol terjun bebas sedih [-3] hiks [-2] mungkin konsiderasi improve pump nya aku kasih bintang', 'tweet_text': ' benar aku suka banget produk resap cepat banget kulit enggak lengket greasy nyaman daan betul cocok bekas jerawat memang jadi lebih pudar tidak hilang tentu butuh proses bestie tapi turut skin game perhati pilih packaging pump nya keras lalu produk keluar malah jadi loncat banyak buang entah leher botol terjun bebas sedih hiks mungkin konsiderasi improve pump nya aku kasih bintang', 'sentence_score': ['benar [4] aku suka [5] banget produk resap cepat [5] banget kulit enggak lengket greasy nyaman [4] daan betul [4] cocok [4] bekas [-4] jerawat memang jadi lebih pudar tidak hilang [3] tentu [1] butuh proses bestie tapi turut skin game perhati pilih packaging pump nya keras [-3] lalu produk keluar [-3] malah jadi loncat banyak buang [-3] entah leher botol terjun bebas sedih [-3] hiks [-2] mungkin konsiderasi improve pump nya aku kasih bintang'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}"
maaf banget susah banget diratainnya whitecast parah bikin kulit jadi kering banget,Negatif,"{'classified_text': 'maaf banget susah [-5] banget diratainnya whitecast parah [-5] bikin kulit jadi kering banget', 'tweet_text': ' maaf banget susah banget diratainnya whitecast parah bikin kulit jadi kering banget', 'sentence_score': ['maaf banget susah [-5] banget diratainnya whitecast parah [-5] bikin kulit jadi kering banget'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
warna nya kuning entah apa,Netral,"{'classified_text': 'warna nya kuning entah apa', 'tweet_text': ' warna nya kuning entah apa', 'sentence_score': ['warna nya kuning entah apa'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
habis pakai besok langsung muncul banyak jerawat kecil,Negatif,"{'classified_text': 'habis pakai besok langsung muncul banyak jerawat kecil [-1]', 'tweet_text': ' habis pakai besok langsung muncul banyak jerawat kecil', 'sentence_score': ['habis pakai besok langsung muncul banyak jerawat kecil [-1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
isi beranta,Negatif,"{'classified_text': 'isi beranta', 'tweet_text': ' isi beranta', 'sentence_score': ['isi beranta'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
bikin aku jerawat,Negatif,"{'classified_text': 'bikin aku jerawat', 'tweet_text': ' bikin aku jerawat', 'sentence_score': ['bikin aku jerawat'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
produk belum coba kirim tidak guna bubble wrap produk kotak kirim buka botol asa panas mungkin tidak lapis bubble wrap jadi langsung papar sinar matahari kirim moga produk efektif kandung,Negatif,"{'classified_text': 'produk belum coba kirim tidak guna bubble wrap produk kotak kirim buka botol asa panas mungkin tidak lapis bubble wrap jadi langsung papar sinar matahari kirim moga produk efektif kandung', 'tweet_text': ' produk belum coba kirim tidak guna bubble wrap produk kotak kirim buka botol asa panas mungkin tidak lapis bubble wrap jadi langsung papar sinar matahari kirim moga produk efektif kandung', 'sentence_score': ['produk belum coba kirim tidak guna bubble wrap produk kotak kirim buka botol asa panas mungkin tidak lapis bubble wrap jadi langsung papar sinar matahari kirim moga produk efektif kandung'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
selang pendek apa sih hilang bawah wtf annoying banget pakenya bagaimana coba aku cari enggak selang pakai tube aja kalo pakai packaging kayak begini masalah mulu sayang banget padahal formula bagus kalo packagingnya begini sih big no deh,Negatif,"{'classified_text': 'selang pendek [-4] apa sih hilang [-3] bawah [-1] wtf [-5] annoying banget pakenya bagaimana coba aku cari enggak selang pakai tube aja kalo pakai packaging kayak begini masalah [-4] mulu sayang [5] banget padahal formula bagus [4] kalo packagingnya begini sih big no deh', 'tweet_text': ' selang pendek apa sih hilang bawah wtf annoying banget pakenya bagaimana coba aku cari enggak selang pakai tube aja kalo pakai packaging kayak begini masalah mulu sayang banget padahal formula bagus kalo packagingnya begini sih big no deh', 'sentence_score': ['selang pendek [-4] apa sih hilang [-3] bawah [-1] wtf [-5] annoying banget pakenya bagaimana coba aku cari enggak selang pakai tube aja kalo pakai packaging kayak begini masalah [-4] mulu sayang [5] banget padahal formula bagus [4] kalo packagingnya begini sih big no deh'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
parah banget seller kirim kurir lama banget kirim plus waktu buka paket rusak enggak jelas seller tidak professional tidak niat jual sama sekali meski official store harga customer bungkus paket baik benar,Negatif,"{'classified_text': 'parah [-6] banget seller kirim kurir lama [-3] banget kirim plus waktu buka paket rusak [-4] enggak jelas [-4] seller tidak professional tidak niat jual sama sekali meski official store harga customer bungkus paket baik [4] benar [5]', 'tweet_text': ' parah banget seller kirim kurir lama banget kirim plus waktu buka paket rusak enggak jelas seller tidak professional tidak niat jual sama sekali meski official store harga customer bungkus paket baik benar', 'sentence_score': ['parah [-6] banget seller kirim kurir lama [-3] banget kirim plus waktu buka paket rusak [-4] enggak jelas [-4] seller tidak professional tidak niat jual sama sekali meski official store harga customer bungkus paket baik [4] benar [5]'], 'max_positive': 5, 'max_negative': -6, 'kelas': 'negatif'}"
packaging suka banget rim cepat cuman sorry banget kykny memang enggak cocok aku kayak langsung jerawat besar,Netral,"{'classified_text': 'packaging suka [5] banget rim cepat [4] cuman sorry banget kykny memang enggak cocok [-3] aku kayak langsung jerawat besar [3]', 'tweet_text': ' packaging suka banget rim cepat cuman sorry banget kykny memang enggak cocok aku kayak langsung jerawat besar', 'sentence_score': ['packaging suka [5] banget rim cepat [4] cuman sorry banget kykny memang enggak cocok [-3] aku kayak langsung jerawat besar [3]'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}"
warna kuning kiri padahal baru buka punya pakai bulan kanan bening,Negatif,"{'classified_text': 'warna kuning kiri padahal baru buka punya pakai bulan kanan bening [3]', 'tweet_text': ' warna kuning kiri padahal baru buka punya pakai bulan kanan bening', 'sentence_score': ['warna kuning kiri padahal baru buka punya pakai bulan kanan bening [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua,Negatif,"{'classified_text': 'benar [4] jadi geprek enggak pakai bubble wrap sama sekali hancur [-5] semua', 'tweet_text': ' benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua', 'sentence_score': ['benar [4] jadi geprek enggak pakai bubble wrap sama sekali hancur [-5] semua'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}"
belum coba pertama kali beli moga cocok bintang beri respon admin antar pesan baik cepat,Positif,"{'classified_text': 'belum coba pertama kali beli moga cocok [3] bintang beri respon admin antar pesan baik [4] cepat [5]', 'tweet_text': ' belum coba pertama kali beli moga cocok bintang beri respon admin antar pesan baik cepat', 'sentence_score': ['belum coba pertama kali beli moga cocok [3] bintang beri respon admin antar pesan baik [4] cepat [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
fast response on time delivery,Positif,"{'classified_text': 'fast response on time delivery', 'tweet_text': ' fast response on time delivery', 'sentence_score': ['fast response on time delivery'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
belum coba moga cocok,Positif,"{'classified_text': 'belum coba moga cocok [3]', 'tweet_text': ' belum coba moga cocok', 'sentence_score': ['belum coba moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulit minyak masalah kulit pori besar,Netral,"{'classified_text': 'tipe kulit minyak masalah [-4] kulit pori besar [3]', 'tweet_text': ' tipe kulit minyak masalah kulit pori besar', 'sentence_score': ['tipe kulit minyak masalah [-4] kulit pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
moga cocok terima kasih bonus,Positif,"{'classified_text': 'moga cocok [3] terima kasih [4] bonus [4]', 'tweet_text': ' moga cocok terima kasih bonus', 'sentence_score': ['moga cocok [3] terima kasih [4] bonus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
barang tidak terima sekarang kurir tanya balesnya lama kirim dipindahtangankan sama kurir pertama kecewa padahal alamat sesuai biasa begini kak komplain bagi ekspedisi kirim terima kasih,Negatif,"{'classified_text': 'barang tidak terima sekarang kurir tanya balesnya lama [-2] kirim dipindahtangankan sama kurir pertama kecewa [-3] padahal alamat sesuai [3] biasa [-2] begini kak komplain bagi ekspedisi kirim terima kasih [4]', 'tweet_text': ' barang tidak terima sekarang kurir tanya balesnya lama kirim dipindahtangankan sama kurir pertama kecewa padahal alamat sesuai biasa begini kak komplain bagi ekspedisi kirim terima kasih', 'sentence_score': ['barang tidak terima sekarang kurir tanya balesnya lama [-2] kirim dipindahtangankan sama kurir pertama kecewa [-3] padahal alamat sesuai [3] biasa [-2] begini kak komplain bagi ekspedisi kirim terima kasih [4]'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}"
enggak cocok muka tambah jerawat parah,Negatif,"{'classified_text': 'enggak cocok [-3] muka tambah jerawat parah [-5]', 'tweet_text': ' enggak cocok muka tambah jerawat parah', 'sentence_score': ['enggak cocok [-3] muka tambah jerawat parah [-5]'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
hadiah bohong,Negatif,"{'classified_text': 'hadiah [3] bohong', 'tweet_text': ' hadiah bohong', 'sentence_score': ['hadiah [3] bohong'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
bohong,Negatif,"{'classified_text': 'bohong', 'tweet_text': ' bohong', 'sentence_score': ['bohong'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
baru mau coba moga cocok tipe kulit kombinasi masalah kulit jerawat,Positif,"{'classified_text': 'baru mau coba moga cocok [3] tipe kulit kombinasi masalah [-4] kulit jerawat', 'tweet_text': ' baru mau coba moga cocok tipe kulit kombinasi masalah kulit jerawat', 'sentence_score': ['baru mau coba moga cocok [3] tipe kulit kombinasi masalah [-4] kulit jerawat'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
oke,Positif,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulit kering tipe kulit normal,Netral,"{'classified_text': 'tipe kulit kering tipe kulit normal [-1]', 'tweet_text': ' tipe kulit kering tipe kulit normal', 'sentence_score': ['tipe kulit kering tipe kulit normal [-1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pertama kali coba warna kulit cenderung gelap awal pikir bakal jomplang pas pakai nyata blend banget sama kulit warna jadi lebih cerah bukan jadi tone up tekstur kaya foundy cair cepat nyerap awal kaya mate pas kering lama jadi glow up,Positif,"{'classified_text': 'pertama kali coba warna kulit cenderung gelap [-2] awal pikir bakal jomplang pas pakai nyata blend banget sama kulit warna jadi lebih cerah [5] bukan jadi tone up tekstur kaya [3] foundy cair cepat [4] nyerap awal kaya [3] mate pas kering lama [-2] jadi glow up', 'tweet_text': ' pertama kali coba warna kulit cenderung gelap awal pikir bakal jomplang pas pakai nyata blend banget sama kulit warna jadi lebih cerah bukan jadi tone up tekstur kaya foundy cair cepat nyerap awal kaya mate pas kering lama jadi glow up', 'sentence_score': ['pertama kali coba warna kulit cenderung gelap [-2] awal pikir bakal jomplang pas pakai nyata blend banget sama kulit warna jadi lebih cerah [5] bukan jadi tone up tekstur kaya [3] foundy cair cepat [4] nyerap awal kaya [3] mate pas kering lama [-2] jadi glow up'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
seperti botol apa cocok kulit normal cenderung kering enak enggak white cast tone up jadi enggak asa cemong kulit putih,Positif,"{'classified_text': 'seperti [1] botol apa cocok [3] kulit normal [-1] cenderung kering enak [4] enggak white cast tone up jadi enggak asa cemong kulit putih', 'tweet_text': ' seperti botol apa cocok kulit normal cenderung kering enak enggak white cast tone up jadi enggak asa cemong kulit putih', 'sentence_score': ['seperti [1] botol apa cocok [3] kulit normal [-1] cenderung kering enak [4] enggak white cast tone up jadi enggak asa cemong kulit putih'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
botol dua enak kulit gampang serap enggak masalah kulit mantap,Positif,"{'classified_text': 'botol dua enak [4] kulit gampang serap enggak masalah [4] kulit mantap [4]', 'tweet_text': ' botol dua enak kulit gampang serap enggak masalah kulit mantap', 'sentence_score': ['botol dua enak [4] kulit gampang serap enggak masalah [4] kulit mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
produk beda isi cair customer service tanya enggak bantu tele tele,Negatif,"{'classified_text': 'produk beda isi cair customer service tanya enggak bantu tele tele', 'tweet_text': ' produk beda isi cair customer service tanya enggak bantu tele tele', 'sentence_score': ['produk beda isi cair customer service tanya enggak bantu tele tele'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
kecewa isi tidak full beli tempat,Negatif,"{'classified_text': 'kecewa [-3] isi tidak full beli tempat', 'tweet_text': ' kecewa isi tidak full beli tempat', 'sentence_score': ['kecewa [-3] isi tidak full beli tempat'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
paksa kasih nilai jelek admin al el ve handle chat balas asal tidak jawab konsultasi customer baik pertanyan jawab tidak sesuai asal balas tanpa baca masalah beli,Negatif,"{'classified_text': 'paksa [-4] kasih nilai [3] jelek [-4] admin al el ve handle chat balas asal tidak jawab konsultasi customer baik [4] pertanyan jawab tidak sesuai [-3] asal balas tanpa baca masalah [-4] beli', 'tweet_text': ' paksa kasih nilai jelek admin al el ve handle chat balas asal tidak jawab konsultasi customer baik pertanyan jawab tidak sesuai asal balas tanpa baca masalah beli', 'sentence_score': ['paksa [-4] kasih nilai [3] jelek [-4] admin al el ve handle chat balas asal tidak jawab konsultasi customer baik [4] pertanyan jawab tidak sesuai [-3] asal balas tanpa baca masalah [-4] beli'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
baru coba moga cocok recommended seller,Positif,"{'classified_text': 'baru coba moga cocok [3] recommended seller', 'tweet_text': ' baru coba moga cocok recommended seller', 'sentence_score': ['baru coba moga cocok [3] recommended seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
pertama kali coba tinted sunscreen mudah cocok enggak oksidasi sesuai klaim packing aman kardus tambah bubble wrap tebal mantap,Positif,"{'classified_text': 'pertama kali coba tinted sunscreen mudah [3] cocok [4] enggak oksidasi sesuai [3] klaim packing aman [4] kardus tambah bubble wrap tebal mantap [4]', 'tweet_text': ' pertama kali coba tinted sunscreen mudah cocok enggak oksidasi sesuai klaim packing aman kardus tambah bubble wrap tebal mantap', 'sentence_score': ['pertama kali coba tinted sunscreen mudah [3] cocok [4] enggak oksidasi sesuai [3] klaim packing aman [4] kardus tambah bubble wrap tebal mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
pesan barang paket lengkap datang paket,Positif,"{'classified_text': 'pesan barang paket lengkap datang paket', 'tweet_text': ' pesan barang paket lengkap datang paket', 'sentence_score': ['pesan barang paket lengkap datang paket'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
lebih baik sabtu minggu tetap proses kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure,Negatif,"{'classified_text': 'lebih baik [5] sabtu minggu tetap proses kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure', 'tweet_text': ' lebih baik sabtu minggu tetap proses kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure', 'sentence_score': ['lebih baik [5] sabtu minggu tetap proses kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
lot responnya,Negatif,"{'classified_text': 'lot responnya', 'tweet_text': ' lot responnya', 'sentence_score': ['lot responnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
wtf pas buka tutup nyata puter malah tempat moisturizernya langsung tumpah tengah,Negatif,"{'classified_text': 'wtf [-4] pas buka tutup nyata puter malah tempat moisturizernya langsung tumpah tengah', 'tweet_text': ' wtf pas buka tutup nyata puter malah tempat moisturizernya langsung tumpah tengah', 'sentence_score': ['wtf [-4] pas buka tutup nyata puter malah tempat moisturizernya langsung tumpah tengah'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
isi tidak sesuai,Negatif,"{'classified_text': 'isi tidak sesuai [-3]', 'tweet_text': ' isi tidak sesuai', 'sentence_score': ['isi tidak sesuai [-3]'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
thanks,Positif,"{'classified_text': 'thanks', 'tweet_text': ' thanks', 'sentence_score': ['thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
well received thanks,Positif,"{'classified_text': 'well received thanks', 'tweet_text': ' well received thanks', 'sentence_score': ['well received thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
barang aman cuma aku abuan dikit toleransi thanks,Positif,"{'classified_text': 'barang aman [4] cuma [-2] aku abuan dikit toleransi [4] thanks', 'tweet_text': ' barang aman cuma aku abuan dikit toleransi thanks', 'sentence_score': ['barang aman [4] cuma [-2] aku abuan dikit toleransi [4] thanks'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
produk biasa paling parah layan sangat tidak muas tidak helpfull tidak customer oriented hati kalau belanja sini salah sedikit bakal fatal,Negatif,"{'classified_text': 'produk biasa [-3] paling parah [-6] layan sangat tidak muas tidak helpfull tidak customer oriented hati kalau belanja sini salah [-2] sedikit bakal fatal', 'tweet_text': ' produk biasa paling parah layan sangat tidak muas tidak helpfull tidak customer oriented hati kalau belanja sini salah sedikit bakal fatal', 'sentence_score': ['produk biasa [-3] paling parah [-6] layan sangat tidak muas tidak helpfull tidak customer oriented hati kalau belanja sini salah [-2] sedikit bakal fatal'], 'max_positive': 1, 'max_negative': -6, 'kelas': 'negatif'}"
kata check out jam lama tau enggak boohong banget buat mau check out jangan percaya,Negatif,"{'classified_text': 'kata check out jam lama [-2] tau enggak boohong banget buat mau check out jangan percaya [-4]', 'tweet_text': ' kata check out jam lama tau enggak boohong banget buat mau check out jangan percaya', 'sentence_score': ['kata check out jam lama [-2] tau enggak boohong banget buat mau check out jangan percaya [-4]'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
kecewa pesan batal tidak pernah mau beli terima kasih alas beli toko harga pusat normal beli reseller harga lambung jauh ribu kecewa ganti produk eye care terima kasih beli batal sama somethinc jahat banget pesan pakai usaha kalau tidak beli eye game changer sini mau beli stockist harga beda ribu ribu terima kasih belum kadang pre order sungguh kecewa beli official mana beli banyak terima kasih,Negatif,"{'classified_text': 'kecewa [-3] pesan batal tidak pernah mau beli terima kasih [4] alas beli toko harga pusat normal [-1] beli reseller harga lambung jauh [-2] ribu kecewa [-3] ganti produk eye care terima kasih [4] beli batal sama somethinc jahat [-5] banget pesan pakai usaha kalau tidak beli eye game changer sini mau beli stockist harga beda ribu ribu terima kasih [4] belum kadang pre order sungguh kecewa [-4] beli official mana [-4] beli banyak terima kasih [4]', 'tweet_text': ' kecewa pesan batal tidak pernah mau beli terima kasih alas beli toko harga pusat normal beli reseller harga lambung jauh ribu kecewa ganti produk eye care terima kasih beli batal sama somethinc jahat banget pesan pakai usaha kalau tidak beli eye game changer sini mau beli stockist harga beda ribu ribu terima kasih belum kadang pre order sungguh kecewa beli official mana beli banyak terima kasih', 'sentence_score': ['kecewa [-3] pesan batal tidak pernah mau beli terima kasih [4] alas beli toko harga pusat normal [-1] beli reseller harga lambung jauh [-2] ribu kecewa [-3] ganti produk eye care terima kasih [4] beli batal sama somethinc jahat [-5] banget pesan pakai usaha kalau tidak beli eye game changer sini mau beli stockist harga beda ribu ribu terima kasih [4] belum kadang pre order sungguh kecewa [-4] beli official mana [-4] beli banyak terima kasih [4]'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}"
beautiful package bintang buat safety nya,Positif,"{'classified_text': 'beautiful package bintang buat safety nya', 'tweet_text': ' beautiful package bintang buat safety nya', 'sentence_score': ['beautiful package bintang buat safety nya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
kirim lama beda provinsi gapapa packingnya aman banget moga cocok baik kulit aku tipe kulit minyak,Negatif,"{'classified_text': 'kirim lama [-2] beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit aku tipe kulit minyak', 'tweet_text': ' kirim lama beda provinsi gapapa packingnya aman banget moga cocok baik kulit aku tipe kulit minyak', 'sentence_score': ['kirim lama [-2] beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit aku tipe kulit minyak'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
top,Positif,"{'classified_text': 'top [4]', 'tweet_text': ' top', 'sentence_score': ['top [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
