review_tokens,Sentimen,sentimen
tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,Netral,"{'classified_text': 'tipe kulitku berminyak masalah [-4] kulitku jerawat masalah [-4] kulitku pori besar [3]', 'tweet_text': ' tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar', 'sentence_score': ['tipe kulitku berminyak masalah [-4] kulitku jerawat masalah [-4] kulitku pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
agak kecewa sama pengemasannya kardusnya peyok dalemnya enggak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,Negatif,"{'classified_text': 'agak kecewa [-2] sama pengemasannya kardusnya peyok dalemnya enggak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman [4]', 'tweet_text': ' agak kecewa sama pengemasannya kardusnya peyok dalemnya enggak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman', 'sentence_score': ['agak kecewa [-2] sama pengemasannya kardusnya peyok dalemnya enggak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman [4]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
tipe kulitku kering,Netral,"{'classified_text': 'tipe kulitku kering', 'tweet_text': ' tipe kulitku kering', 'sentence_score': ['tipe kulitku kering'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
ini pertama kalinya saya tidak menerima barang pesanan saya secara lengkap sayangnya saya tidak melakukan video unboxing,Negatif,"{'classified_text': 'ini pertama kalinya saya tidak menerima barang pesanan saya secara lengkap sayangnya [-2] saya tidak melakukan video unboxing', 'tweet_text': ' ini pertama kalinya saya tidak menerima barang pesanan saya secara lengkap sayangnya saya tidak melakukan video unboxing', 'sentence_score': ['ini pertama kalinya saya tidak menerima barang pesanan saya secara lengkap sayangnya [-2] saya tidak melakukan video unboxing'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}"
beli tanggal mei chat admin katanya tanggal bisa dikirim tapi sampai sudah mau batal otomatis baru dikirim sampai di rumah tanggal malam padahal mau dibawa ke luar kota tanggal mei karena melihat status enggak dikirim akhirnya beli sama reseller di jakarta kecewa baru pertama kali pesan di official store tapi pelayanan buruk dan pengiriman lama barang yang dikirim sesuai hanya tidak ada box atau bubble wrap kalo yang butuh cepat tolong pertimbangkan untuk beli di official store,Negatif,"{'classified_text': 'beli tanggal mei chat admin katanya tanggal bisa dikirim tapi sampai sudah mau batal otomatis baru dikirim sampai di rumah tanggal malam padahal mau dibawa ke luar kota tanggal mei karena melihat status enggak dikirim akhirnya beli sama reseller di jakarta kecewa [-3] baru pertama kali pesan di official store tapi pelayanan buruk [-4] dan pengiriman lama [-2] barang yang dikirim sesuai [2] hanya tidak ada box atau bubble wrap kalo yang butuh cepat [4] tolong pertimbangkan untuk beli di official store', 'tweet_text': ' beli tanggal mei chat admin katanya tanggal bisa dikirim tapi sampai sudah mau batal otomatis baru dikirim sampai di rumah tanggal malam padahal mau dibawa ke luar kota tanggal mei karena melihat status enggak dikirim akhirnya beli sama reseller di jakarta kecewa baru pertama kali pesan di official store tapi pelayanan buruk dan pengiriman lama barang yang dikirim sesuai hanya tidak ada box atau bubble wrap kalo yang butuh cepat tolong pertimbangkan untuk beli di official store', 'sentence_score': ['beli tanggal mei chat admin katanya tanggal bisa dikirim tapi sampai sudah mau batal otomatis baru dikirim sampai di rumah tanggal malam padahal mau dibawa ke luar kota tanggal mei karena melihat status enggak dikirim akhirnya beli sama reseller di jakarta kecewa [-3] baru pertama kali pesan di official store tapi pelayanan buruk [-4] dan pengiriman lama [-2] barang yang dikirim sesuai [2] hanya tidak ada box atau bubble wrap kalo yang butuh cepat [4] tolong pertimbangkan untuk beli di official store'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
sudahlah prosesnya lama banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini,Negatif,"{'classified_text': 'sudahlah prosesnya lama [-3] banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini', 'tweet_text': ' sudahlah prosesnya lama banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini', 'sentence_score': ['sudahlah prosesnya lama [-3] banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat tidak ada isi yang tumpah cuma berharap kotak kemasan dari azarine bisa lebih baik lagi saya bisa kirim video unboxing,Negatif,"{'classified_text': 'saya kira membeli dari toko official bisa dapat pengemasan lebih baik [5] saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat [4] tidak ada isi yang tumpah cuma [-2] berharap [-1] kotak kemasan dari azarine bisa lebih baik [5] lagi saya bisa kirim video unboxing', 'tweet_text': ' saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat tidak ada isi yang tumpah cuma berharap kotak kemasan dari azarine bisa lebih baik lagi saya bisa kirim video unboxing', 'sentence_score': ['saya kira membeli dari toko official bisa dapat pengemasan lebih baik [5] saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat [4] tidak ada isi yang tumpah cuma [-2] berharap [-1] kotak kemasan dari azarine bisa lebih baik [5] lagi saya bisa kirim video unboxing'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
tiap belanja pasti salah kalo enggak kurang barangnya ya salah barangnya ikhlasin saja semoga berkah kalo produknya cocok pelayanan nya saja kurang atau butuh karyawan,Negatif,"{'classified_text': 'tiap belanja pasti salah [-5] kalo enggak kurang [2] barangnya ya salah [-4] barangnya ikhlasin saja semoga berkah kalo produknya cocok [3] pelayanan nya saja kurang [-2] atau butuh karyawan', 'tweet_text': ' tiap belanja pasti salah kalo enggak kurang barangnya ya salah barangnya ikhlasin saja semoga berkah kalo produknya cocok pelayanan nya saja kurang atau butuh karyawan', 'sentence_score': ['tiap belanja pasti salah [-5] kalo enggak kurang [2] barangnya ya salah [-4] barangnya ikhlasin saja semoga berkah kalo produknya cocok [3] pelayanan nya saja kurang [-2] atau butuh karyawan'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}"
pelayanannya jelek banget,Negatif,"{'classified_text': 'pelayanannya jelek [-5] banget', 'tweet_text': ' pelayanannya jelek banget', 'sentence_score': ['pelayanannya jelek [-5] banget'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
exp panjang thanks,Negatif,"{'classified_text': 'exp panjang [1] thanks', 'tweet_text': ' exp panjang thanks', 'sentence_score': ['exp panjang [1] thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
dapat tekstur sudah keras dan menggumpal,Negatif,"{'classified_text': 'dapat tekstur sudah keras [-3] dan menggumpal', 'tweet_text': ' dapat tekstur sudah keras dan menggumpal', 'sentence_score': ['dapat tekstur sudah keras [-3] dan menggumpal'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
diterima dalam keaadan bocor seperti bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas saja mau complain entar lama lagi prosesnya,Negatif,"{'classified_text': 'diterima dalam keaadan bocor [-3] seperti [1] bekas [-4] lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa [-3] padahal official store malas [-4] saja mau complain entar lama [-2] lagi prosesnya', 'tweet_text': ' diterima dalam keaadan bocor seperti bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas saja mau complain entar lama lagi prosesnya', 'sentence_score': ['diterima dalam keaadan bocor [-3] seperti [1] bekas [-4] lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa [-3] padahal official store malas [-4] saja mau complain entar lama [-2] lagi prosesnya'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
teksturnya kental banget di aku kurang ngefek sih probably enggak beli lagi,Negatif,"{'classified_text': 'teksturnya kental banget di aku kurang [-2] ngefek sih probably enggak beli lagi', 'tweet_text': ' teksturnya kental banget di aku kurang ngefek sih probably enggak beli lagi', 'sentence_score': ['teksturnya kental banget di aku kurang [-2] ngefek sih probably enggak beli lagi'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}"
botol semprotnya suka ngawur arahnya,Netral,"{'classified_text': 'botol semprotnya suka [4] ngawur arahnya', 'tweet_text': ' botol semprotnya suka ngawur arahnya', 'sentence_score': ['botol semprotnya suka [4] ngawur arahnya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya,Netral,"{'classified_text': 'produk bagus [4] sering repurchase tapi suka [4] kesel sama pumpnya isi masih banyak tapi enggak keluar [3] di pump susah [-4] kali pump nya', 'tweet_text': ' produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya', 'sentence_score': ['produk bagus [4] sering repurchase tapi suka [4] kesel sama pumpnya isi masih banyak tapi enggak keluar [3] di pump susah [-4] kali pump nya'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan,Positif,"{'classified_text': 'sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan', 'tweet_text': ' sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan', 'sentence_score': ['sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tekstur ringan pengiriman cepat,Positif,"{'classified_text': 'tekstur ringan pengiriman cepat [4]', 'tweet_text': ' tekstur ringan pengiriman cepat', 'sentence_score': ['tekstur ringan pengiriman cepat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
respon toko nya cepat dan ramah belum dicoba mudah mudahan cocok,Positif,"{'classified_text': 'respon toko nya cepat [4] dan ramah [4] belum dicoba mudah [3] mudahan cocok [3]', 'tweet_text': ' respon toko nya cepat dan ramah belum dicoba mudah mudahan cocok', 'sentence_score': ['respon toko nya cepat [4] dan ramah [4] belum dicoba mudah [3] mudahan cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
sudah langganan selalu beli disini,Positif,"{'classified_text': 'sudah langganan selalu beli disini', 'tweet_text': ' sudah langganan selalu beli disini', 'sentence_score': ['sudah langganan selalu beli disini'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tutup pumpnya enggak bisa berfungsi tapi ok gentle banget washnya,Positif,"{'classified_text': 'tutup pumpnya enggak bisa berfungsi tapi ok [1] gentle banget washnya', 'tweet_text': ' tutup pumpnya enggak bisa berfungsi tapi ok gentle banget washnya', 'sentence_score': ['tutup pumpnya enggak bisa berfungsi tapi ok [1] gentle banget washnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full semuka sampai ke leher cocok banget buat kulitku yang sensitif,Positif,"{'classified_text': 'face wash enak [4] sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh [-2] sudah bisa full semuka sampai ke leher cocok [4] banget buat kulitku yang sensitif [-2]', 'tweet_text': ' face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full semuka sampai ke leher cocok banget buat kulitku yang sensitif', 'sentence_score': ['face wash enak [4] sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh [-2] sudah bisa full semuka sampai ke leher cocok [4] banget buat kulitku yang sensitif [-2]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
material bagus packaging aman enggak bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terima kasih ya,Positif,"{'classified_text': 'material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung meresap aman [4] dari fragrance packaging pump juga hygenis semoga kulit sensitif [-2] saya cocok [3] terima kasih [4] ya', 'tweet_text': ' material bagus packaging aman enggak bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terima kasih ya', 'sentence_score': ['material bagus [4] packaging aman [4] enggak bocor [3] tekstur gel langsung meresap aman [4] dari fragrance packaging pump juga hygenis semoga kulit sensitif [-2] saya cocok [3] terima kasih [4] ya'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
bagus pasti ro,Positif,"{'classified_text': 'bagus [5] pasti ro', 'tweet_text': ' bagus pasti ro', 'sentence_score': ['bagus [5] pasti ro'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
bagus bagus cocok,Positif,"{'classified_text': 'bagus [4] bagus [5] cocok [4]', 'tweet_text': ' bagus bagus cocok', 'sentence_score': ['bagus [4] bagus [5] cocok [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
dapat bonus,Positif,"{'classified_text': 'dapat bonus [3]', 'tweet_text': ' dapat bonus', 'sentence_score': ['dapat bonus [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
dikasih free gift juga keren,Positif,"{'classified_text': 'dikasih free gift juga keren [4]', 'tweet_text': ' dikasih free gift juga keren', 'sentence_score': ['dikasih free gift juga keren [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
sebenarnya aku suka banget produknya meresapnya cepat banget ke kulit enggak lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku memang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapiii yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang,Positif,"{'classified_text': 'sebenarnya [3] aku suka [5] banget produknya meresapnya cepat [5] banget ke kulit enggak lengket dan greasy nyaman [4] daan kebetulan cocok [3] karena bekas [-4] jerawatku memang jadi lebih memudar [-4] tidak hilang [3] begitu saja dan tentunya butuh prosesnya ya bestie tapi yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras [-2] lalu produk yang keluar [-3] malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih [-3] hiks [-2] mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang', 'tweet_text': ' sebenarnya aku suka banget produknya meresapnya cepat banget ke kulit enggak lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku memang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapi yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang', 'sentence_score': ['sebenarnya [3] aku suka [5] banget produknya meresapnya cepat [5] banget ke kulit enggak lengket dan greasy nyaman [4] daan kebetulan cocok [3] karena bekas [-4] jerawatku memang jadi lebih memudar [-4] tidak hilang [3] begitu saja dan tentunya butuh prosesnya ya bestie tapi yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras [-2] lalu produk yang keluar [-3] malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih [-3] hiks [-2] mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}"
maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,Negatif,"{'classified_text': 'maaf banget tapi ini susah [-4] banget diratainnya dan whitecast parah [-5] bikin kulit jadi kering banget', 'tweet_text': ' maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget', 'sentence_score': ['maaf banget tapi ini susah [-4] banget diratainnya dan whitecast parah [-5] bikin kulit jadi kering banget'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
warna nya kuning entah karena apa,Netral,"{'classified_text': 'warna nya kuning entah karena apa', 'tweet_text': ' warna nya kuning entah karena apa', 'sentence_score': ['warna nya kuning entah karena apa'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
habis pakai ini besokannya langsung muncul banyak jerawat kecil,Negatif,"{'classified_text': 'habis pakai ini besokannya langsung muncul banyak jerawat kecil [-1]', 'tweet_text': ' habis pakai ini besokannya langsung muncul banyak jerawat kecil', 'sentence_score': ['habis pakai ini besokannya langsung muncul banyak jerawat kecil [-1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
isinya berantakan,Negatif,"{'classified_text': 'isinya berantakan [-4]', 'tweet_text': ' isinya berantakan', 'sentence_score': ['isinya berantakan [-4]'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
bikin aku jerawatan,Negatif,"{'classified_text': 'bikin aku jerawatan', 'tweet_text': ' bikin aku jerawatan', 'sentence_score': ['bikin aku jerawatan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya,Negatif,"{'classified_text': 'produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya', 'tweet_text': ' produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya', 'sentence_score': ['produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
selangnya sependek apa sih sampai dia hilang kebawah wtf annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh,Negatif,"{'classified_text': 'selangnya sependek apa sih sampai dia hilang [-3] kebawah wtf [-4] annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang [5] banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh', 'tweet_text': ' selangnya sependek apa sih sampai dia hilang kebawah wtf annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh', 'sentence_score': ['selangnya sependek apa sih sampai dia hilang [-3] kebawah wtf [-4] annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang [5] banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}"
ini parah banget seller dan pengiriman kurir sudah lama banget kirimnya plus waktu sampai dibuka paketnya rusak enggak jelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,Negatif,"{'classified_text': 'ini parah [-6] banget seller dan pengiriman kurir sudah lama [-3] banget kirimnya plus waktu sampai dibuka paketnya rusak [-4] enggak jelas [-4] ini seller tidak professional dan tidak niat jualan sama sekali meskipun [-2] official store tolong hargai customer dengan dapat membungkus paket dengan baik [4] dan benar [4]', 'tweet_text': ' ini parah banget seller dan pengiriman kurir sudah lama banget kirimnya plus waktu sampai dibuka paketnya rusak enggak jelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar', 'sentence_score': ['ini parah [-6] banget seller dan pengiriman kurir sudah lama [-3] banget kirimnya plus waktu sampai dibuka paketnya rusak [-4] enggak jelas [-4] ini seller tidak professional dan tidak niat jualan sama sekali meskipun [-2] official store tolong hargai customer dengan dapat membungkus paket dengan baik [4] dan benar [4]'], 'max_positive': 4, 'max_negative': -6, 'kelas': 'negatif'}"
untuk packaging suka banget dan pengeriman juga cepat cuman sorry banget kayaknya memang enggak cocok di aku kayak langsung jerawatan besar begitu,Netral,"{'classified_text': 'untuk packaging suka [5] banget dan pengeriman juga cepat [4] cuman sorry banget kayaknya memang enggak cocok [-3] di aku kayak langsung jerawatan besar [3] begitu', 'tweet_text': ' untuk packaging suka banget dan pengeriman juga cepat cuman sorry banget kayaknya memang enggak cocok di aku kayak langsung jerawatan besar begitu', 'sentence_score': ['untuk packaging suka [5] banget dan pengeriman juga cepat [4] cuman sorry banget kayaknya memang enggak cocok [-3] di aku kayak langsung jerawatan besar [3] begitu'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}"
warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening,Negatif,"{'classified_text': 'warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening [3]', 'tweet_text': ' warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening', 'sentence_score': ['warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua,Negatif,"{'classified_text': 'benar [4] jadi geprek enggak pakai bubble wrap sama sekali hancur [-5] semua', 'tweet_text': ' benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua', 'sentence_score': ['benar [4] jadi geprek enggak pakai bubble wrap sama sekali hancur [-5] semua'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}"
belum coba pertama kali beli semoga cocok bintang ini diberikan untuk respon admin dan pengantaran pesanan yang baik dan cepat,Positif,"{'classified_text': 'belum coba pertama kali beli semoga cocok [3] bintang ini diberikan untuk respon admin dan pengantaran pesanan yang baik [4] dan cepat [4]', 'tweet_text': ' belum coba pertama kali beli semoga cocok bintang ini diberikan untuk respon admin dan pengantaran pesanan yang baik dan cepat', 'sentence_score': ['belum coba pertama kali beli semoga cocok [3] bintang ini diberikan untuk respon admin dan pengantaran pesanan yang baik [4] dan cepat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
fast response on time delivery,Positif,"{'classified_text': 'fast response on time delivery', 'tweet_text': ' fast response on time delivery', 'sentence_score': ['fast response on time delivery'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
belum coba semoga cocok,Positif,"{'classified_text': 'belum coba semoga cocok [3]', 'tweet_text': ' belum coba semoga cocok', 'sentence_score': ['belum coba semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku berminyak masalah kulitku pori besar,Netral,"{'classified_text': 'tipe kulitku berminyak masalah [-4] kulitku pori besar [3]', 'tweet_text': ' tipe kulitku berminyak masalah kulitku pori besar', 'sentence_score': ['tipe kulitku berminyak masalah [-4] kulitku pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
semoga cocok terima kasih bonusnya,Positif,"{'classified_text': 'semoga cocok [3] terima kasih [4] bonusnya', 'tweet_text': ' semoga cocok terima kasih bonusnya', 'sentence_score': ['semoga cocok [3] terima kasih [4] bonusnya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
barang tidak saya terima sampai sekarang kurir ditanya balesnya lama karena pengiriman dipindahtangankan sama kurir pertama kecewa saya padahal alamat sudah sesuai dan biasanya begini tolong kak dikomplain bagian ekspedisi pengirimannya terima kasih,Negatif,"{'classified_text': 'barang tidak saya terima sampai sekarang kurir ditanya balesnya lama [-2] karena pengiriman dipindahtangankan sama kurir pertama kecewa [-3] saya padahal alamat sudah sesuai [3] dan biasanya begini tolong kak dikomplain bagian ekspedisi pengirimannya terima kasih [4]', 'tweet_text': ' barang tidak saya terima sampai sekarang kurir ditanya balesnya lama karena pengiriman dipindahtangankan sama kurir pertama kecewa saya padahal alamat sudah sesuai dan biasanya begini tolong kak dikomplain bagian ekspedisi pengirimannya terima kasih', 'sentence_score': ['barang tidak saya terima sampai sekarang kurir ditanya balesnya lama [-2] karena pengiriman dipindahtangankan sama kurir pertama kecewa [-3] saya padahal alamat sudah sesuai [3] dan biasanya begini tolong kak dikomplain bagian ekspedisi pengirimannya terima kasih [4]'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}"
enggak cocok mukaku tambah jerawat parah,Negatif,"{'classified_text': 'enggak cocok [-3] mukaku tambah jerawat parah [-5]', 'tweet_text': ' enggak cocok mukaku tambah jerawat parah', 'sentence_score': ['enggak cocok [-3] mukaku tambah jerawat parah [-5]'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
hadiahnya bohongan,Negatif,"{'classified_text': 'hadiahnya bohongan', 'tweet_text': ' hadiahnya bohongan', 'sentence_score': ['hadiahnya bohongan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
berbohong,Negatif,"{'classified_text': 'berbohong [-5]', 'tweet_text': ' berbohong', 'sentence_score': ['berbohong [-5]'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat,Positif,"{'classified_text': 'baru mau coba semoga cocok [3] tipe kulitku kombinasi masalah [-4] kulitku jerawat', 'tweet_text': ' baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat', 'sentence_score': ['baru mau coba semoga cocok [3] tipe kulitku kombinasi masalah [-4] kulitku jerawat'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
oke,Positif,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku kering tipe kulitku normal,Netral,"{'classified_text': 'tipe kulitku kering tipe kulitku normal [-1]', 'tweet_text': ' tipe kulitku kering tipe kulitku normal', 'sentence_score': ['tipe kulitku kering tipe kulitku normal [-1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
